5667338
/m/0dz2th
/m/0dz2th
Glen Cook
1984-10
a 14
about 1
accident 1
accumulating 1
acquaintance 1
across 1
afterwards 1
aiding 1
almost 1
also 1
ambush 1
an 3
and 22
another 2
any 1
are 3
arrival 1
arrive 1
as 5
asa 4
at 3
attempt 2
away 5
back 1
badly 1
band 1
barely 1
barrowland 2
battle 1
be 4
become 1
becomes 1
been 4
begin 1
behind 1
between 2
black 3
bodies 2
bodyselling 1
both 1
breaks 1
bringing 1
built 1
but 2
by 6
can 1
cannot 2
captain 1
carpet 1
castle 7
catacombs 1
caught 1
chase 1
choice 1
city 1
cliff 1
climactic 1
coincidence 1
comet 1
command 1
company 12
confusion 1
connection 2
contacts 1
continues 1
cousin 1
croaker 8
darling 9
dead 3
death 2
deserted 1
deserter 1
desperately 1
detachment 1
determine 1
determines 1
died 1
dies 1
dilapidated 1
discover 1
doctor 1
does 2
dominator 4
done 1
down 2
downfall 1
embezzling 1
emerges 1
empire 2
enemy 1
enough 2
escalates 1
escape 1
ever 1
fakes 1
favor 1
fearing 1
feather 3
few 1
fierce 1
fighting 2
finally 1
find 2
fleeing 1
flown 1
flying 1
follow 1
for 7
forces 1
forcing 1
former 1
fortunately 1
found 2
freed 1
friend 1
from 2
fueling 1
get 1
gets 2
goblin 1
great 1
grow 1
growing 1
had 6
handing 1
has 3
have 1
he 8
hefty 1
henchmen 1
her 2
heroic 1
herself 1
him 6
his 8
historian 1
hotel 1
hurting 1
husband 1
ice 1
if 2
illgotten 1
immediately 1
in 14
incident 1
including 3
informs 1
inhabitants 1
into 2
investigate 2
ironically 1
is 9
it 2
its 1
journey 1
juniper 5
killed 2
knows 1
krage 3
lady 11
large 1
learn 2
learns 1
left 1
letting 1
lieutenant 4
lifeanddeath 1
limper 2
link 1
living 1
loanshark 1
local 1
loot 1
loses 1
lover 1
magical 1
magically 1
making 1
many 2
march 1
marron 1
meanwhile 1
melts 1
members 1
men 2
miles 1
minions 1
minor 1
money 3
more 1
most 2
mysterious 1
needs 1
nemesis 1
new 1
news 1
next 2
no 1
nonhuman 1
now 1
of 19
oldtime 1
on 2
once 1
oneeye 1
only 1
ordered 1
other 1
others 1
out 3
outside 1
over 2
participate 1
pay 1
planted 1
port 3
powerful 1
prepare 1
presence 1
prince 1
prior 1
process 1
prophecies 1
protect 2
questioning 1
raven 13
realizes 1
rebels 1
rehabilitated 1
reincarnation 1
remainder 1
remnants 1
request 1
residents 2
rest 1
return 1
returns 1
revealed 1
rightfully 1
risk 1
robbing 1
rose 2
run 2
rundown 1
sail 2
save 1
say 1
searching 1
secluded 1
seed 1
sell 1
selling 1
she 1
shed 9
ship 3
shortly 1
side 1
signal 1
silent 1
slain 1
slipped 1
small 1
so 1
sold 1
some 1
soon 1
spend 1
spot 1
staged 1
steadily 1
struggle 1
succeed 1
sufficient 1
suicide 1
suit 1
sum 1
sure 1
take 1
taken 1
takes 1
taking 1
that 9
the 76
their 1
them 3
then 2
they 8
thing 1
this 1
though 1
thousands 1
to 25
town 2
track 1
treacherous 1
tries 1
trip 1
troubles 1
truth 1
trying 1
twentynine 1
two 1
unauthorized 1
underground 1
unease 1
unwittingly 1
up 1
used 1
vast 1
venture 1
very 1
victorious 1
waiting 1
ward 1
way 1
well 1
were 1
when 4
which 2
while 1
whisper 3
white 2
who 1
why 1
will 3
winter 1
with 5
wizards 1
worried 1
worst 1
would 2
years 1
