15300781
/m/03m422r
/m/03m422r
Lois Duncan


1 1
2010 1
a 7
abandoned 2
abusive 1
across 1
adopted 1
after 2
alice 1
allow 1
along 1
an 3
and 11
andi 4
animalallergic 1
annabel 1
are 1
aunt 1
away 1
bebe 2
because 1
beloved 1
book 1
brother 1
bruce 3
bulldales 2
by 2
called 1
debbie 1
discovered 1
do 1
does 1
dog 4
dogs 2
during 1
eight 1
end 1
enemy 1
expenses 1
father 2
final 1
finally 1
find 1
finds 1
five 1
for 1
forced 1
friday 1
from 1
girl 1
go 1
goodbye 1
gordon 1
greataunt 1
having 1
her 5
his 2
home 2
house 1
however 1
idea 1
ignorant 1
in 3
irish 1
is 5
jerry 2
keep 1
keeps 1
mactavish 2
may 1
mean 1
more 2
mother 2
move 2
names 1
news 1
not 1
of 1
older 1
overwhelm 1
owner 1
partners 1
paying 1
preston 1
published 1
pups 1
ran 1
red 2
regardless 1
released 1
return 1
revealed 1
rover 2
sadie 1
say 1
scene 1
sequel 2
setter 1
she 4
shortly 1
so 2
stranded 1
street 1
tenant 1
the 6
their 2
them 1
they 1
this 2
three 1
tim 2
to 8
vetoes 1
walker 1
walkers 1
want 1
was 1
while 1
who 3
wickedness 1
wishes 1
with 2
would 1
writing 1
