1066922
/m/0431bb
/m/0431bb
John Steinbeck
1962
0 1
1 1
10 1
13 1
141 1
142 1
158 1
160 1
18 1
181 1
1845 1
185 1
205 1
208 2
22 1
24 1
243 1
248 1
25 2
252 1
254 1
256 1
261 1
35 1
58 1
a 66
able 1
about 12
academically 1
acadia 1
across 2
adore 1
advancing 1
advantage 1
affect 1
afraid 1
after 6
again 2
against 1
agent 1
akron 1
alas 1
all 7
allowing 1
allusion 1
along 2
alongside 1
also 3
although 1
always 3
am 1
amarillo 1
america 5
american 6
americans 4
among 1
amount 1
an 12
ancient 1
and 86
angel 1
angry 1
another 1
antique 1
antithesis 1
any 1
anyway 1
apparent 1
applause 1
appreciate 1
approached 1
are 4
area 1
arrived 1
artistically 1
as 19
ask 1
asked 1
assumed 1
at 13
ate 2
attempt 1
attendant 1
attitude 2
attitudes 2
author 2
away 1
back 3
badly 1
bangor 1
bar 1
barking 1
base 1
battlefield 1
be 4
bear 1
became 2
because 4
been 1
before 3
began 2
behind 1
being 4
beliefs 1
believe 1
believed 1
below 1
bend 1
benivens 1
beside 1
best 1
bestial 1
between 1
beyond 1
big 2
birthplace 1
black 5
blacks 2
bland 1
blitz 1
boat 1
bombing 1
book 4
bordered 1
bought 1
bradford 1
bringing 1
british 1
brought 2
burning 1
bustle 1
busy 1
but 7
by 14
cajuns 1
california 3
calumnies 1
came 4
camper 1
campershell 1
can 1
canada 1
canine 1
cant 1
canty 1
captivating 1
care 1
career 1
carroll 1
casting 1
cat 1
caught 1
cause 1
caused 1
causing 1
caution 1
centre 2
certified 1
change 6
changed 2
changeless 1
changes 3
charley 6
cheerleaders 1
cheerleaders256 1
childhood 2
children 4
chums 1
cities 5
city 2
clark 2
cleanliness 1
clear 1
cleveland 1
cling 1
closed 1
cockney 1
columbia 1
combination 1
come 4
comedy 1
coming 1
companion 2
compared 2
concluded 3
concludes 1
connecticut 1
contentiousness 1
conversation 2
conversations 1
cooper 2
coopers 1
could 2
country 5
couple 1
crazy 1
credited 1
creswell 1
criminal 1
criticism 1
crowd 1
culture 2
custom 1
dakota 2
darnthly 1
day 1
days 1
dealt 1
declare 1
deer 3
delayed 1
describe 1
described 2
describing 1
descriptions 1
desegregation 1
deserts 1
designed 1
desired 1
desperate 1
despite 1
destinations 1
destruction 1
detour 1
device 1
did 2
died 2
differ 1
difference 1
diner 1
dinner 1
