26832475
/m/0bmf_0t
/m/0bmf_0t
Jeffery Deaver
2005-06-07
1800s 1
200 1
a 8
about 1
accomplices 2
accused 1
acres 1
after 1
all 2
also 2
amelia 1
an 2
ancestor 3
and 5
appear 1
are 2
as 2
at 2
attack 1
attempts 2
be 3
because 1
behind 1
believes 1
bought 1
boyd 5
catch 1
charles 1
chase 1
clue 1
common 1
company 1
compensation 1
continue 2
cooper 1
counselor 1
course 1
creating 1
crime 2
crimes 1
criminal 1
dad 1
day 1
dellray 1
discovered 1
each 1
either 1
ended 1
entitled 1
eventually 2
falsely 1
fifteen 1
for 1
fred 1
geneva 3
guidance 1
had 2
harlem 1
he 2
help 1
helps 1
her 4
high 1
highschool 1
hired 1
his 3
huge 1
in 6
information 1
initially 1
investigation 1
is 4
it 1
kill 1
killer 1
land 4
leads 1
leaves 1
legally 2
lincoln 2
lines 1
lon 1
looking 1
manhattan 1
mel 1
misleads 1
modern 1
murder 2
museum 1
newspaper 1
not 2
novel 1
of 10
old 1
one 1
or 1
other 2
out 2
over 1
owned 1
paper 1
people 1
period 1
person 1
planned 1
pretends 1
prime 1
professional 1
relatives 1
researching 1
revealed 1
rhyme 3
sachs 1
school 1
secret 2
sellitto 1
settle 2
settles 2
she 1
singleton 2
singletons 1
smaller 1
sold 1
solutions 1
solve 1
some 2
starts 1
stolen 1
story 3
student 1
terrorist 1
that 4
the 16
there 1
they 1
this 1
thompson 1
through 1
throughout 2
time 2
to 10
turns 1
two 1
unfeeling 1
up 1
vandal 1
was 5
were 1
where 1
which 1
while 1
who 2
why 1
witness 1
years 1
