20082212
/m/04yh84r
/m/04yh84r
Thomas Bernhard
1973
a 12
abandoned 1
about 1
across 1
ago 1
amidst 1
an 2
and 9
arise 1
as 1
at 1
aural 1
austrian 1
be 1
been 2
begin 1
begins 2
bernhard 1
bits 1
bloodbath 1
book 1
both 1
bound 1
brains 1
bring 1
but 1
caught 1
cellar 1
chimney 1
cider 1
circumstances 1
cold 1
compelling 1
compulsively 1
conclusions 1
constant 1
constellation 1
consumed 1
continually 1
correspondence 1
couple 1
covered 1
creep 1
cripple 1
crouching 1
decades 1
deep 1
definitive 1
degrees 1
deluded 1
demanding 1
description 1
destroyed 1
develops 1
discrimination 1
distracted 1
down 1
dreaded 1
each 1
ear 1
earaches 1
even 1
experiments 2
failure 1
feed 1
feel 1
finished 1
first 1
floor 1
food 1
for 4
forgotten 1
from 5
genius 1
glass 1
gossips 1
grotesque 1
ground 1
halffrozen 1
hallucinates 1
has 4
he 14
hearing 1
heartlessness 1
her 6
herself 1
him 2
his 8
hoards 1
hundreds 1
hypnotic 1
ideal 1
impossible 1
in 3
insidiously 1
invites 1
is 6
isolation 1
it 1
judged 1
knitting 1
knowing 1
konrad 1
life 1
lime 2
live 1
local 1
long 1
madman 1
maintain 1
man 3
manure 1
may 1
mitten 1
moment 2
monotony 1
must 1
nearby 2
never 1
next 1
no 2
now 1
obsessive 1
of 15
officials 1
old 1
on 3
one 3
opens 1
or 3
other 1
over 2
own 1
people 2
perfect 1
phrase 1
prowlers 1
read 1
ruin 1
salesmen 1
scattered 1
scene 1
servants 1
shatters 1
she 4
sicking 1
small 1
so 1
started 1
story 2
strength 1
subject 1
suppose 2
sweeps 1
tale 1
tell 1
tend 1
terrified 1
that 2
the 23
their 1
themselves 1
then 1
they 1
this 1
three 1
through 1
time 1
times 1
to 6
together 1
told 1
tome 1
torments 1
total 1
town 1
treatise 1
try 1
two 1
ultimate 1
unravelling 1
until 1
victim 1
visionary 1
visitors 1
voices 1
voluminous 1
waiting 1
was 1
watch 1
wave 1
way 1
we 2
where 1
whether 1
whispers 1
wife 2
with 3
womans 1
work 1
works 2
worthless 1
writing 2
years 1
