1529600
/m/058c86
/m/058c86
Henryk Sienkiewicz
1912
10 1
100 1
12yearold 1
14yearold 1
1th 1
3 1
8yearold 1
a 26
abductors 1
about 1
abusing 1
accept 1
accompanied 2
accompanies 1
accompanying 2
adventures 1
africa 1
african 1
after 4
against 1
all 1
also 2
although 1
an 4
and 56
anger 1
animals 1
another 2
antibritish 1
any 1
arabs 7
arduous 1
are 10
army 1
arrested 1
arrive 1
as 3
assistance 1
at 4
attack 1
attacked 1
attacks 3
be 3
beast 2
beaten 1
beautiful 1
because 2
become 1
becomes 1
bedouine 1
been 5
before 1
beg 2
beginning 1
begins 1
being 1
belongs 1
benign 1
birthright 1
black 2
boar 1
both 1
boy 5
brave 1
british 3
busy 1
but 3
by 22
calls 1
camp 3
can 1
canal 1
captured 1
carried 1
century 1
certain 1
children 11
christianity 1
city 2
command 1
cruelty 1
dangers 1
day 3
days 1
death 4
decides 1
deciding 1
delicate 1
describing 1
desert 3
despair 1
destination 1
dictated 1
die 3
died 1
difficult 1
disappointed 1
diseases 1
dont 1
down 2
dry 1
due 1
earlier 1
east 1
egypt 1
either 1
elephant 4
encounter 2
encounters 1
enemies 1
engineers 1
english 2
escape 1
especially 2
europe 1
even 1
exchange 1
exhausted 1
exhausting 1
explorer 1
explorers 2
extremely 1
fact 1
fail 1
fallen 1
familiar 1
families 1
fashoda 1
fathers 2
fatima 1
favour 1
fear 1
find 2
finishes 1
fire 1
food 2
for 13
forced 1
found 2
free 2
freed 1
frees 1
friend 2
friends 2
from 6
fruits 1
frustration 1
full 1
furious 1
further 4
fury 1
generously 1
get 1
gets 1
gigantic 1
girl 3
go 1
going 1
gone 2
good 3
gorge 1
gorilla 2
gradually 1
grateful 1
grief 1
group 9
grow 2
gruesome 1
gully 1
gunpowder 2
guns 1
had 5
hand 1
has 6
hated 1
he 8
heart 1
heat 1
help 1
hill 1
him 5
his 8
home 2
honor 1
hope 3
hopes 1
horrified 1
hostages 1
how 2
however 1
hunger 1
ill 1
immemorial 1
in 17
indian 1
informed 1
ingored 1
injured 1
inscribed 1
intelligent 1
into 1
invaded 1
is 17
it 3
its 1
journey 6
jungle 1
kali 8
khartoum 2
killed 2
kills 3
king 3
kites 1
know 1
knows 1
lack 1
lake 1
last 3
later 1
leading 1
learns 1
least 1
leaves 1
led 1
leopard 2
linde 6
lion 3
live 3
longer 1
lose 1
loves 1
mad 1
mahdi 5
maintenance 1
malaria 1
man 2
many 1
mapped 1
married 1
mea 1
means 1
medicine 1
members 1
men 1
mentioned 1
might 1
mission 1
mkunje 1
moment 1
mountain 2
mountaintop 1
move 2
mrua 1
muslim 1
mzibu 1
named 3
nasibu 3
nature 1
near 2
negro 1
nel 17
no 1
not 4
novel 1
nowtamed 1
number 1
ocean 1
of 19
offers 1
officers 1
old 1
on 9
once 1
one 3
onto 1
or 3
out 4
peacefully 1
perils 1
pity 1
place 1
plaguing 1
plans 1
plight 1
plot 1
polish 1
poor 1
port 1
poverty 1
preacher 1
presented 1
prince 1
protagonist 1
protagonists 1
protects 1
punished 1
quickly 1
quinine 2
rather 1
rawlison 1
reaching 2
rebellion 1
recovered 1
recovers 1
relative 1
rescued 1
responsible 1
rest 1
return 2
reunited 1
revolt 1
riding 1
rudolf 1
ruined 1
saba 2
safe 1
sahara 1
said 1
sambur 3
saved 2
saves 1
scorching 1
searching 1
seeing 1
servants 1
set 3
settlement 1
severely 1
shoot 2
short 1
shotgun 1
shots 1
sickness 1
since 1
size 1
slave 1
slaves 1
sleeping 1
small 1
sojourns 1
some 1
soon 3
sooner 1
south 1
spiritgoddess 1
sta 21
stanisaw 1
starvation 1
stay 1
stays 1
steal 1
story 1
stricken 1
sudan 1
suez 1
supervise 1
supplies 1
swiss 2
take 1
takes 2
tarkowski 1
teaches 1
thanks 1
that 15
the 86
their 14
them 3
then 2
therefore 1
they 9
thinks 1
thirst 1
this 2
though 2
through 2
throwing 1
time 3
to 24
together 1
top 1
tragically 1
trap 1
trapped 1
travel 1
treatment 1
tribe 6
tribes 1
tribespeople 4
turned 1
two 3
united 1
until 1
up 2
upon 2
urges 1
using 1
venerated 1
village 2
villagers 1
villages 2
visit 1
vulnerable 1
wahima 4
waiting 1
war 2
was 1
water 3
waterfall 2
weapon 2
well 1
wellknown 1
were 1
what 1
when 4
where 2
whereabouts 1
which 4
while 2
who 8
whom 2
wild 1
witchdoctors 2
with 9
without 1
wobo 1
won 1
wonders 1
years 1
