31058802
/m/0gg7rl1
/m/0gg7rl1
Julian Barnes
1992
a 4
appointed 1
as 2
attempts 1
based 2
be 1
book 1
bulgaria 2
by 1
character 1
communist 1
concerns 1
concernsan 1
conducting 1
country 1
court 1
defense 1
described 1
dictator 1
ensnare 1
excellent 1
few 1
fictional 1
former 2
formidable 1
general 1
his 1
humane 1
in 2
its 1
judged 1
laws 1
leader 1
likely 1
loosely 1
moral 1
newly 1
novel 2
of 2
on 3
own 1
petkanov 2
postcommunist 1
prosecutor 1
set 1
springs 1
stoyo 1
surprises 1
the 8
times 1
to 2
todor 1
totalitarian 1
trial 1
unwelcome 1
uperbly 1
with 1
zhivkov 1
