7144608
/m/0h6l55
/m/0h6l55
Colleen McCullough
1993
{"/m/02p0szs": "Historical fiction"}
a 3
adventures 1
after 1
against 4
all 1
along 1
always 1
an 2
and 6
antagonistic 1
are 2
as 1
away 1
battle 1
become 1
begin 1
belief 1
book 1
bookhis 1
but 1
by 1
caesar 1
campaigns 1
civil 1
consulship 1
contrasted 1
cornelius 1
covers 1
crassus 2
culminates 1
dead 1
death 1
deformity 1
della 1
destroyed 1
dictatorship 1
dramatic 1
east 2
exposure 1
expresses 1
favoriti 1
fierce 1
first 1
formed 1
fortuna 2
from 1
gaius 1
generation 1
goddess 1
government 1
great 1
halcyon 1
hand 1
he 1
helping 1
her 1
his 6
in 4
intense 1
is 3
it 1
iti 1
joint 1
julius 1
licinius 1
lives 1
lucius 1
luck 1
majority 1
marcus 1
marius 1
masters 1
men 1
mithridates 1
most 1
narrated 1
nearabsolute 1
needed 1
next 1
novel 2
now 1
of 9
often 1
opens 1
own 1
pale 1
physical 1
please 1
pleasure 1
political 1
pompey 2
power 1
powerafter 1
proscriptions 1
quintus 1
reference 1
renegade 1
repeated 1
resignation 1
rest 1
retirement 1
return 1
right 1
rise 1
roman 3
rome 1
second 1
series 1
sertorius 1
shadow 1
skin 1
spartacus 1
struggle 1
sulla 2
sun 1
take 1
that 1
the 20
their 1
them 1
theme 1
they 1
those 2
three 1
title 1
to 5
under 1
vie 1
villa 1
war 1
wars 1
was 1
when 1
while 2
who 2
willing 1
with 3
would 1
year 1
young 1
youthful 2
