17260078
/m/043lrjw
/m/043lrjw
Simon Raven


145 3
155 1
21st 1
a 31
about 5
accept 2
admits 1
affair 1
affection 1
after 4
again 1
alien 1
all 1
already 1
also 2
ambitions 1
among 1
an 3
and 33
andrew 1
angela 5
another 1
are 4
army 2
arrested 2
arrival 1
as 1
at 6
attack 1
attended 2
attending 1
away 5
back 1
barn 1
base 2
basis 1
be 4
because 1
become 2
becoming 1
bedroom 1
been 1
before 1
behaviour 1
believes 1
birthday 1
bit 1
bitter 1
blackmails 1
blocked 1
board 1
book 1
bored 1
boy 2
brother 1
bullying 1
but 2
by 6
called 1
cambridge 3
captain 1
career 1
celebrating 1
chances 1
christopher 7
climaxing 1
climber 1
closely 1
college 2
comes 1
comrades 1
constable 3
corresponding 1
could 2
course 1
cricket 1
criticized 1
dare 1
day 1
dead 1
dedication 1
demands 1
depressed 1
described 1
describing 1
detterling 1
didnt 1
died 1
dies 1
dinner 1
disgusted 1
disturbing 1
dixie 2
do 1
does 1
doesnt 2
done 1
door 2
down 1
drawer 2
drunk 1
drunken 1
during 6
earlier 1
early 1
education 1
end 3
ends 2
europe 1
even 3
evening 1
every 1
father 5
fielding 24
find 1
finds 1
flirting 1
flirts 1
fondles 1
for 10
fortune 1
fragile 1
friends 4
from 2
front 1
funeral 1
furious 1
fury 1
game 1
give 2
given 1
go 2
goes 2
good 1
gray 14
greek 1
gun 1
had 4
has 13
having 1
he 25
head 1
headmaster 3
hear 1
hears 1
heart 1
held 1
her 9
him 9
himself 4
his 21
hit 1
hits 1
holidays 1
home 2
homosexual 1
horse 2
household 1
how 1
however 1
hurt 1
husband 1
if 1
ii 1
in 17
india 4
informed 1
inherits 1
into 1
introduced 1
is 22
island 1
it 1
its 1
joins 1
killed 1
kytherea 1
lancaster 2
later 3
latin 1
leanings 1
learn 1
least 1
leaves 2
letter 1
letters 1
lie 1
lies 1
lift 1
like 1
lloydjames 4
longer 1
love 1
makes 1
man 1
master 1
may 2
meet 1
meeting 2
meets 2
memory 1
mentioned 1
mentions 1
met 1
modest 1
more 2
morrison 7
mother 6
mr 3
mrs 2
name 2
names 1
national 2
never 1
none 1
not 2
nothing 2
obey 1
of 18
often 1
old 1
older 1
on 8
one 1
out 2
outrageous 1
outside 2
parents 1
party 2
patronised 1
pay 1
people 1
period 1
peter 7
photo 1
photograph 1
phyllis 1
plan 3
plans 2
plantation 1
post 1
prepared 1
prevent 1
promises 1
prostitute 1
pupil 1
puts 1
race 1
racing 1
rather 1
really 2
reason 1
receives 1
refuses 2
relationship 3
retreat 1
return 1
revealed 1
reveals 2
roads 1
robert 1
roland 5
runs 1
said 1
santa 1
scholarship 1
school 7
see 1
seems 3
seen 1
send 1
sends 1
senior 1
seniors 1
september 1
seriously 1
service 6
settles 1
sex 1
sexual 1
she 3
shes 1
shipped 1
short 1
shot 1
should 1
since 2
sisters 1
slamming 1
slams 1
social 1
soldier 2
some 1
something 1
soon 2
sound 1
spoiled 1
standing 1
starting 1
starts 1
stationed 1
story 3
straight 1
strange 1
streets 1
study 1
suggest 1
suicide 1
summer 1
suspects 1
svfielding 1
taken 1
talk 1
tea 1
tell 1
tells 3
that 18
the 48
their 1
them 1
then 2
they 2
things 1
think 1
thinks 2
this 4
tiberius 1
to 29
together 1
told 4
too 1
towards 1
town 1
tryst 1
tuck 4
tucks 2
turn 1
turning 1
tutor 1
two 2
ugly 1
up 2
urged 1
usher 1
very 1
visit 3
visited 1
visits 2
vjday 1
vomiting 1
want 1
wants 1
war 1
was 3
watch 1
way 1
we 1
weak 1
weeks 1
what 3
when 4
where 5
which 1
while 2
who 9
whole 1
whose 2
will 3
with 16
woman 1
world 1
written 1
young 1
