819254
/m/03dzr1
/m/03dzr1
Agatha Christie

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
1 1
14 1
2 2
20 1
3 2
4 7
a 103
abandoned 1
abe 3
aborted 1
about 5
according 1
accused 1
achille 2
across 1
act 1
adopted 1
after 14
afterwards 3
again 4
agents 1
ah 2
all 7
alley 1
alone 2
along 1
also 7
always 1
ambushed 1
ambushes 1
america 5
american 3
among 1
amount 2
an 13
analysed 1
and 112
angles 1
announces 1
annoyed 1
another 5
antimony 1
antique 1
any 1
applies 1
arabian 1
are 10
argentina 1
around 1
arrival 2
arrive 3
arrives 1
as 25
ask 1
asked 1
asking 1
asks 3
asphyxiation 1
assumes 1
asylum 3
at 12
attacks 1
attempted 1
awakes 1
aware 1
away 3
back 4
barely 1
bargain 1
be 8
beam 1
because 5
beckon 1
becomes 2
been 14
before 3
beginning 1
begins 1
being 2
belgium 1
believes 2
below 1
betsy 1
big 12
binds 1
bishop 5
blamed 1
blood 2
bloodstained 1
board 2
boat 1
boats 1
body 1
bodyguard 1
bolsheviks 1
bomb 1
books 1
boring 1
both 2
brains 1
bread 3
bring 1
british 1
broke 1
broken 1
brother 1
burn 1
burned 1
but 9
butcher 1
by 17
caf 1
called 7
calls 1
came 4
cannot 1
capable 1
captain 3
captured 1
car 1
card 1
carrezza 1
carrozza 2
cart 1
case 2
cases 1
catch 1
caught 2
caused 1
causes 1
certain 1
chair 1
chang 5
charred 1
chemical 1
chemist 1
chess 5
child 2
china 4
chinatown 1
chinese 6
cholera 1
chosen 1
cigarette 1
claimed 2
claud 2
clear 1
clever 1
client 1
climb 1
cloak 1
clock 2
closer 1
clothing 1
clutching 1
coat 1
coffee 1
collapsed 1
comes 3
committed 1
confirmed 1
confronted 2
confusion 1
connected 1
contain 1
contained 1
contains 1
cook 1
cordoned 1
could 2
countess 3
cover 2
covered 1
cramps 1
crooks 1
crumbs 2
current 1
curry 3
cut 1
cyanide 1
dabbed 1
dabs 1
darrell 5
dart 1
dead 8
deadly 1
death 7
deaves 3
decided 1
deeper 1
defeat 1
delivered 2
destroyer 1
di 1
did 1
didnt 1
die 2
died 2
dined 1
dipped 1
discovered 1
disguise 2
disguised 1
disturbance 1
doctor 9
door 3
doorknob 1
down 3
dozen 1
dragged 1
drawing 1
drink 1
driven 1
drugged 1
due 2
dying 1
earthquake 1
eating 1
eats 1
efficient 1
electrocution 1
eleven 1
eleventh 1
employer 1
encoded 1
ends 1
energy 1
enter 1
entered 2
enters 1
escaped 2
evades 1
eve 1
events 1
eventually 2
ever 1
everyone 1
examines 1
exist 1
exit 1
exited 1
experimented 1
explains 3
explodes 2
face 1
fact 5
failure 2
fallen 2
falls 1
famous 1
farraway 1
father 1
feeling 1
felsenlabyrinth 1
felt 1
few 3
fiddle 1
fight 1
figure 1
figures 3
filled 1
find 4
finds 2
finger 1
fire 2
first 1
fisherman 1
flat 9
florence 1
focusing 1
follow 1
follows 1
footprints 1
for 17
forced 2
form 1
former 2
found 4
four 27
france 1
french 1
frenchwoman 1
friend 3
from 14
frozen 2
funeral 1
fur 1
gagged 2
gags 1
game 3
garden 1
gas 1
gastric 1
gave 3
gentleman 1
gerald 1
get 1
gets 2
gilmour 2
give 1
given 4
gives 1
glimpse 1
go 3
goes 2
gone 4
got 1
grandmasters 1
grant 6
great 1
greatest 1
greeted 1
greets 1
growing 1
had 22
halliday 7
hand 1
handel 1
hands 2
has 19
hastings 37
have 3
havoc 1
he 70
head 1
headquarters 2
heard 5
heart 1
heavier 1
help 2
her 12
hercule 4
herself 1
hide 1
him 24
himself 2
his 39
hit 2
holding 2
home 3
hoppaton 2
hospital 1
hotel 3
hour 1
hours 1
house 5
how 1
however 4
huge 1
hundred 1
husband 1
hypodermic 1
hypothesizes 1
identifying 1
identity 1
if 6
ill 2
impersonated 1
implicating 1
important 1
imposing 1
imprisoned 1
in 38
information 1
informs 2
ingles 6
initially 1
injected 1
injection 2
ink 1
inquest 1
inquires 1
inside 2
inspector 1
intended 1
intensity 1
interested 2
interests 1
interference 1
into 12
introduces 1
is 44
it 18
italian 1
italy 1
ivan 1
ivy 1
jade 3
japanese 1
japp 6
jasmine 2
job 3
john 2
jonathan 1
july 1
jump 1
just 4
kent 1
key 1
kidnapped 4
kidnappers 1
killed 3
killing 1
king 1
knew 1
knocked 1
knocking 2
knowing 1
laboratory 2
lady 2
lago 1
lamenting 1
largo 2
latchkey 1
later 6
learns 1
least 1
leave 3
leaves 2
leaving 4
led 1
left 3
leg 1
letter 5
li 4
life 1
lights 1
like 2
lines 1
ling 2
lip 1
living 1
locked 2
london 1
look 1
looking 2
lounge 1
lunch 1
m 1
madame 6
made 1
maid 1
main 1
make 2
makes 1
man 21
managed 1
manager 1
manages 1
manservant 4
manuscriptthe 1
many 3
mark 1
master 1
mastermind 1
match 1
matchbox 1
mayerling 3
meal 1
meet 1
members 1
men 2
mentions 1
message 3
metal 1
midst 1
millionaire 2
minutes 1
miss 1
missing 1
mme 1
money 1
monro 2
month 2
months 1
morning 2
mother 1
mountain 2
moustache 1
moves 1
mr 4
much 1
murder 2
murdered 2
murderer 3
must 1
mutton 2
mysterious 1
nail 2
named 2
names 1
narcotic 1
narrow 1
near 1
negative 1
negatived 1
nephew 2
neville 1
news 1
newspaper 1
newspapers 1
next 2
niece 2
no 2
none 1
not 8
notable 1
note 4
nothing 1
noticed 1
notices 1
nowhere 1
number 23
nurse 1
o 1
oap 1
oclock 2
odd 1
of 51
off 4
offer 1
offered 1
officials 1
often 1
olivier 11
on 19
one 8
only 2
open 1
opened 1
opium 2
opposed 1
or 1
order 1
organization 1
orphanage 1
other 3
out 6
over 2
overboard 1
paper 1
paris 2
part 2
participant 1
passing 1
pay 1
paynter 9
people 4
persian 1
persuading 1
phones 1
photo 1
photograph 1
phrase 1
pice 1
picks 1
piece 1
place 2
plan 2
plant 1
play 1
player 1
playing 1
pocket 1
point 1
poirot 67
poison 2
poisoned 2
poisoning 1
poisonous 1
police 2
political 1
politician 1
position 1
pounds 1
powered 1
predictable 1
pretends 1
prevent 1
prisoner 1
probably 1
proceeded 1
proceedings 1
produce 1
prominent 1
promises 1
put 2
quarry 1
quentin 4
question 1
questions 1
quickly 1
radium 1
raid 1
rather 2
realise 1
realises 1
realizes 1
really 1
reason 2
recalling 1
receive 1
received 1
receives 1
recently 2
recognizes 1
referred 1
refurbished 1
refused 1
refusing 2
regular 1
released 1
releases 1
replies 1
represented 1
represents 2
residence 1
responds 1
restaurant 1
result 1
results 1
retreat 1
return 4
returned 1
returning 1
returns 1
reunited 1
reveal 1
reveals 4
revolutionist 1
right 2
rod 1
room 6
rosakoff 1
rossakoff 2
rounded 1
rug 1
run 1
russia 2
ryland 10
safe 2
said 2
sample 2
saturday 1
savaronoff 9
save 1
