31376710
/m/0gk_bhv
/m/0gk_bhv
Julia Golding
2009-04-28

a 6
actors 1
and 8
anyone 1
are 1
as 2
ask 1
ballet 1
because 1
book 1
but 1
by 1
cat 3
close 1
clothes 1
decides 2
down 1
drury 1
due 1
elsewhere 1
escape 1
falls 1
few 1
find 1
for 3
frank 2
fraud 1
friend 1
girl 1
going 1
hates 1
have 2
he 2
help 1
her 2
in 4
including 1
installment 1
intends 1
is 5
it 2
job 1
lane 1
later 1
learning 1
leave 1
left 1
manage 1
many 1
money 1
mr 3
need 1
of 4
owner 1
paris 2
pedro 1
perfect 1
pretence 1
prey 1
proud 1
refurbishing 1
rescued 1
revolt 1
selling 1
send 1
servants 1
she 4
sheridan 3
signor 1
so 2
soon 1
spy 1
streets 1
taken 1
tangled 1
that 1
the 7
theater 1
their 1
they 1
thieves 1
thinks 1
third 1
this 3
to 10
too 1
travels 1
under 1
up 1
with 1
work 2
years 1
