1384582
/m/04y9h2
/m/04y9h2
Robin Hobb
2005
18th 1
a 25
abound 1
academy 4
accepts 1
according 1
across 1
addition 1
advantageous 1
after 2
again 1
against 1
age 1
aid 1
aided 1
all 2
allowing 1
alone 1
also 1
an 2
and 30
appears 1
are 4
aristocracy 1
as 15
assistance 1
at 3
awakens 1
barrier 1
base 1
battle 2
be 4
bear 1
beasts 1
beating 1
because 1
become 1
becoming 1
before 1
begin 1
being 1
belief 1
better 1
between 1
birthday 1
bizarre 1
both 2
bridge 4
bridges 1
bringing 1
building 1
burvelle 3
but 1
by 11
can 1
cannot 1
carnival 1
carry 1
caulder 1
cavalla 4
cavalry 1
challenged 1
chance 1
civilised 1
claims 1
climactic 1
combat 1
comes 2
competitive 1
comprising 1
congress 1
consecrated 1
consists 1
constructed 1
contact 1
convictions 1
course 1
cousin 1
crossing 3
culminates 1
daily 1
dance 2
dancers 1
dappleskinned 1
dark 1
dead 1
decimated 1
deeply 1
deities 1
despite 1
destruction 1
dewara 5
disappears 1
discrimination 1
diseases 1
displaced 1
do 1
does 1
dramatic 1
dreams 1
dried 1
driven 1
duril 1
during 3
dust 2
dying 2
east 1
eight 1
encounter 1
end 1
ends 2
enemy 3
engineering 1
enigmatic 1
entire 1
environment 2
epiny 3
evening 1
eventually 1
ever 1
expelled 2
experiences 2
exposure 1
falls 1
family 1
fantasy 1
far 1
father 4
fever 1
fierce 1
filthy 1
final 1
finds 4
first 2
firstborn 1
folk 1
follow 1
foolhardy 1
for 2
fore 1
forestdwelling 1
formal 1
former 1
forms 1
fortunes 1
forward 1
foul 1
founded 1
friend 1
friendly 1
from 7
frontier 3
frontiers 1
future 2
gernia 2
gernian 1
ghostly 1
girlcousin 1
god 1
golden 1
good 1
grasslands 1
grueling 1
hair 1
halt 1
harbour 1
harsh 1
has 3
have 2
he 14
heads 1
heir 1
help 1
her 4
him 7
himself 3
hires 1
his 17
holy 1
home 1
hostile 1
house 1
however 2
in 16
including 1
infirmary 1
injustice 1
instructs 1
into 2
involves 1
iron 1
is 11
it 4
its 1
joined 1
journeys 1
jurneeuh 1
kidona 3
kill 1
killing 1
king 4
land 1
learn 1
learns 1
lessons 2
light 1
little 1
live 1
looks 1
lord 2
made 1
magic 2
man 2
manages 2
marriage 1
math 1
meeting 1
military 1
missing 1
more 2
mountains 1
mouth 1
name 1
named 1
nation 1
nearly 1
needs 1
nevare 21
new 2
newly 1
next 1
night 1
noble 2
nobles 1
not 4
notably 1
now 1
nuhvair 1
odds 1
of 27
off 2
offers 1
old 3
older 1
on 5
once 4
one 1
onlookers 1
only 1
other 4
out 1
own 1
part 1
participating 1
patch 1
patrol 1
payment 1
people 4
peoples 1
philosophy 1
physical 1
physics 1
places 1
plague 3
plain 1
plains 1
plainsman 1
play 1
poisonous 1
practice 1
prejudice 1
priesthood 1
primeval 1
progress 1
progressive 1
pronounced 2
proves 1
pushed 1
rational 1
ravaged 1
realm 1
recovers 1
regarded 1
regiments 1
religious 1
relish 1
results 1
retain 1
retrieving 1
returning 1
ritual 3
road 1
roles 1
said 2
savages 1
save 1
scalp 1
schooled 1
sealed 1
second 3
seen 1
segregated 1
seized 1
self 2
sensitive 1
sergeant 1
series 1
serve 1
served 1
set 2
sexual 1
she 2
showering 1
simple 1
skin 1
slash 1
soldiers 1
son 3
sons 5
soon 1
specifies 1
speck 3
specks 4
spink 2
stacked 1
still 1
story 1
strange 1
strangely 1
strategy 1
subduing 1
subsequent 1
superstitions 1
survive 2
sword 2
swords 1
teach 1
technologised 1
than 1
thares 2
that 3
the 66
their 3
them 2
then 1
thence 1
there 1
they 2
things 1
third 1
this 3
though 1
tide 1
to 29
toad 1
trade 1
training 1
tree 5
trees 1
tribe 1
tribes 1
troven 2
turn 1
tutor 1
tutors 1
twenty 1
unconventional 1
under 1
unheard 1
up 2
upbringing 1
urges 1
vestiges 1
view 1
vision 3
visit 1
way 1
weapon 1
well 2
what 2
which 4
who 2
whom 1
widespread 1
will 3
wish 1
with 9
woman 5
world 4
worship 1
would 1
writ 1
years 1
young 1
youth 1
