9214276
/m/0280jng
/m/0280jng
Mercedes Lackey
2004
16 1
18 1
21 1
a 10
about 1
accepts 1
after 2
alexander 1
alone 1
also 1
an 1
and 5
appears 1
apprentice 1
arrogant 1
as 3
at 2
be 1
book 1
brownies 1
can 1
candidate 1
cinderella 1
climber 1
cottage 1
daughter 1
daughters 1
day 2
deals 1
death 1
debts 1
decent 1
devious 1
dies 1
duties 1
elena 7
eleven 1
end 1
endings 1
ensnaring 1
except 1
excursion 1
fair 1
fairy 1
fairytale 1
father 2
finding 1
for 2
four 1
fullfledged 1
gentleman 1
girls 1
godmother 3
goes 1
half 1
happen 1
he 1
help 1
her 7
hiring 1
hopes 1
house 2
household 1
husband 1
in 2
into 2
is 4
it 1
land 1
latter 1
left 1
long 1
many 1
marriage 1
married 1
meets 1
most 1
mother 1
moves 1
named 2
new 1
normally 1
not 1
numerous 1
of 10
offers 1
on 1
one 1
or 1
out 1
owe 1
own 1
pay 1
perfect 1
person 1
plan 1
position 1
prince 2
problems 1
purpose 1
relegates 1
rich 1
seems 1
servant 2
she 4
so 1
social 1
stepmother 2
stepsisters 1
take 1
temporary 1
than 1
that 1
the 17
they 2
time 1
to 4
town 1
turning 1
two 1
wealthy 1
when 1
where 1
with 4
woman 1
work 1
years 1
young 1
younger 1
