13754808
/m/03ch7mj
/m/03ch7mj
John Mortimer


100 1
a 21
accidental 1
advanced 1
after 4
afterwards 1
age 1
amusement 1
an 2
and 18
another 1
any 4
appearance 1
application 1
applies 1
are 1
around 1
arrested 2
as 9
asked 1
asks 1
at 4
attempts 1
attire 1
authorities 1
authority 1
back 1
bar 1
battles 1
bearing 1
because 1
begins 1
berlin 1
better 1
both 1
brawl 1
breaking 1
brotherinlaw 1
but 6
by 4
cant 2
captain 3
care 1
catches 1
caught 2
central 1
circle 1
citizens 1
city 2
civilian 1
comply 1
confession 1
convicts 1
council 1
cruel 1
dating 1
deals 1
death 1
denial 1
desperate 1
discharge 1
do 1
does 1
doomed 1
dr 1
draw 1
dressed 1
drunk 1
during 2
elsewhere 1
empire 1
enable 1
end 2
ends 1
enlists 1
ensues 1
enthusiast 1
even 1
evening 1
eventually 1
exchange 1
fact 1
fails 1
failure 1
fairy 1
famous 1
feat 1
finally 1
first 1
folk 1
for 4
forced 1
formal 1
francoprussian 1
friedrich 1
friend 1
from 4
gardehauptmann 1
german 1
get 3
gets 1
girl 2
goes 2
good 1
grenadier 1
grenadiers 1
group 1
guard 2
guffawing 1
had 3
hall 1
has 2
hauptmann 2
have 1
he 12
hero 1
him 3
himself 4
his 15
honest 1
hoprecht 1
however 2
humor 1
identity 1
impossible 1
in 24
indelibly 1
inflexible 1
initiated 1
intended 1
intertwined 1
into 4
is 13
jail 1
jewish 1
joy 1
just 1
kalle 1
kpenick 4
label 1
last 1
late 1
laugh 1
legal 3
length 1
liese 2
life 1
line 1
lit 1
living 1
located 1
lodger 1
made 1
make 1
marie 1
mayor 1
militarized 1
military 4
mirror 2
money 1
more 1
most 1
move 1
moves 1
named 1
nicknamed 1
not 3
nothing 1
obermller 2
of 11
off 1
offers 1
office 2
officers 1
official 1
once 1
one 1
opportunity 1
order 1
originally 1
outset 1
own 1
parallel 1
part 1
party 1
passport 4
peacefully 1
permit 1
play 2
plays 1
points 1
police 2
policemen 1
post 1
potsdam 1
practically 1
prankster 1
prison 3
proceed 1
process 1
procure 1
procures 1
promise 1
promotion 1
prove 1
providing 1
publicity 1
questions 1
rag 1
reading 1
receives 1
recruit 1
reenacting 1
refitted 1
reflection 1
regiment 1
registration 3
released 1
residence 1
resisting 1
resorts 1
retire 1
returned 1
right 1
role 1
scandal 1
schlettow 3
see 1
sees 1
served 1
set 1
settle 1
shoemaker 1
shop 1
sick 1
simple 1
sister 1
so 1
society 1
some 1
sonneberg 1
spent 1
spilling 1
stained 1
stint 2
stories 1
story 1
street 1
suffice 1
surprisingly 1
surrender 1
surrenders 1
system 1
tailor 1
take 1
takes 1
tale 1
team 1
tenyear 1
the 47
their 1
this 5
to 20
trained 2
training 1
translated 1
tries 1
two 1
uniform 8
up 1
vicious 1
voigt 11
von 4
war 1
warden 1
where 1
which 5
while 2
who 3
whole 1
whose 1
wilhelm 2
with 3
without 3
work 2
wormser 2
would 1
yet 2
young 1
