10707281
/m/02qmtyw
/m/02qmtyw
Robert Muchamore
2007-10-01
16 1
4 1
6 1
a 22
about 1
accepted 1
accidentally 1
account 1
adams 1
adams15 1
adopted 1
after 2
afterwards 1
again 1
ages 1
agrees 1
all 4
although 2
an 3
and 32
annoys 1
apartment 1
are 6
area 1
armed 1
arms 1
around 1
as 4
at 4
attack 1
attention 1
avoid 1
back 2
badly 1
bank 1
basic 1
bath 1
be 4
before 3
being 1
bind 1
black 1
blackmail 1
book 2
boy 1
boys 1
breasts 1
bruce 4
busted 1
but 4
by 3
calling 1
calls 1
calmed 1
cambridge 1
campus 1
can 2
canister 1
capturing 1
car 1
caught 2
cherub 3
cherubs 1
class 1
cocaine 1
collapse 1
committee 1
complete 1
contemplated 1
continue 1
counterblackmail 1
crammed 1
cut 1
dana 5
date 2
daughter 2
dawn 1
days 1
dealers 1
dealing 2
decided 1
decides 1
dee 2
describes 1
dogs 2
door 1
down 1
dragged 1
drink 1
drug 2
during 1
earns 1
easier 1
emergancy 1
especially 1
ethics 1
exit 1
failed 1
far 1
feels 1
fellow 1
few 1
fill 1
finds 1
first 1
food 1
footsie 1
for 5
forced 1
forgives 1
form 1
found 1
freed 1
friend 1
gabrielle 3
gag 1
gagged 1
gags 1
gang 5
gangmembers 1
gangs 1
gap 1
get 6
gets 1
getting 1
girlfriend 2
given 2
go 3
going 2
grand 1
great 1
group 1
hand 1
handcuffs 1
hands 1
have 2
having 1
hayley 5
he 8
help 1
helping 1
hendry 2
her 3
herself 1
high 1
him 6
himself 1
his 9
holding 1
hotel 1
hours 1
how 1
however 2
hurt 1
if 1
in 7
infamous 1
infiltrate 2
infiltrating 1
injury 1
inside 2
instructors 1
into 3
is 11
it 2
james 18
junior 3
kazkov 2
keith 1
kerry 1
kevin 2
kid 1
kids 1
kiss 1
kmg 1
knocked 1
known 1
kyle 2
large 3
largebrooks 1
lasher 1
last 1
later 3
lauren 3
law 1
leader 1
leave 1
leaves 1
leaving 1
led 1
legs 1
lives 1
lois 1
long 1
loses 1
lost 1
mad 2
major 4
make 1
man 1
meanwhile 1
meets 1
member 1
members 2
memorial 1
michael 3
mid 1
mission 3
moore 2
mouth 1
mr 5
much 1
nearly 1
need 1
new 1
next 1
norman 1
norris 1
not 2
obrien 2
occupants 1
of 9
off 1
old 2
older 1
on 8
one 1
only 2
opens 1
out 4
part 1
party 1
past 1
people 2
person 1
pike 2
place 1
plans 1
play 3
plot 1
policeman 1
pretending 1
protect 1
punished 2
punishing 1
rag 1
realising 1
relationship 1
reluctant 1
revolves 1
rifles 1
ringleaders 1
robbery 3
role 2
ronan 1
room 1
rubber 1
sasha 3
says 3
see 2
sent 3
sentenced 1
serious 1
seven 1
several 1
shirt 1
should 1
signals 1
smoke 1
so 3
soldier 1
some 1
soon 1
stabbed 1
stand 1
start 1
stays 1
steal 1
still 1
stomach 1
study 1
successfully 1
suddenly 1
suicide 1
surrounding 1
suspicion 1
take 1
takes 1
taser 1
teacher 1
tells 1
tents 2
that 2
the 34
their 5
them 2
then 2
there 2
these 1
they 12
thinking 1
thompson 1
though 1
through 1
throws 2
tied 2
to 17
together 1
tough 1
trainees 2
training 1
trains 1
treated 1
trick 1
tries 1
trouble 1
trousers 1
trying 1
turf 1
two 3
until 1
up 2
upset 1
use 1
uses 1
virginity 1
visit 1
wait 1
war 1
was 2
way 1
well 1
were 3
wheels 1
when 3
where 3
which 1
while 1
who 7
will 2
with 7
woman 1
would 2
year 1
years 3
young 1
