20387925
/m/04zzwgp
/m/04zzwgp
Howard Fast
1977
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
12 1
120s 1
a 20
accept 1
across 1
act 1
adding 2
advances 1
affair 2
afloat 1
after 7
against 1
airlines 1
all 2
allied 1
alone 1
also 2
although 2
america 1
among 1
an 4
and 33
angeles 2
apartment 1
are 4
as 6
asks 1
assets 1
assist 1
assisting 1
at 6
attack 1
attends 1
away 1
bank 6
banks 1
bay 1
beach 1
beautiful 1
because 1
become 1
becomes 1
before 1
begin 2
begins 2
bereft 1
boat 3
boats 1
bookkeeper 1
born 1
both 1
broaches 1
bubble 1
building 1
bulk 1
bursts 1
business 3
businessmen 1
but 4
by 4
calls 1
cannot 2
cargo 3
cause 1
ceases 1
chairwoman 1
child 1
children 1
chinese 1
city 1
classy 1
close 2
coast 1
cold 1
collapses 1
communal 1
company 5
compatriot 1
continues 1
convinces 1
crash 1
cruise 1
dan 18
daniel 1
daughter 3
daughters 1
days 2
dealings 1
death 1
declined 1
declines 1
department 1
deposits 1
depression 1
depths 1
destroys 1
destruction 1
dies 2
dinner 2
discovers 1
distaste 1
diversify 1
divorce 5
does 1
doing 1
down 1
due 1
duo 1
during 3
each 1
early 2
earned 1
earthquake 2
ease 1
emotional 1
empire 2
employee 1
end 1
energies 1
engage 1
enjoys 1
entrepreneur 1
ethnicities 1
even 2
exchange 1
explosion 1
exquisitely 1
falls 1
families 1
family 1
father 4
feeling 1
feng 1
ferry 1
ferrying 2
few 1
fighting 1
finally 2
financial 1
find 1
first 3
fiscal 1
fisherman 1
fishing 2
flatly 1
following 2
for 5
former 1
francisco 2
frenchborn 1
friend 3
friends 1
from 4
get 1
gives 2
goods 1
grants 1
great 2
greatly 1
grow 1
grown 1
grows 4
had 1
handout 1
happiness 1
has 2
have 3
having 1
he 8
head 1
hearing 1
heart 1
heir 1
helping 1
her 6
herself 1
hill 1
him 7
hired 1
his 24
holds 1
honor 1
hotel 1
house 1
however 1
humiliation 1
i 1
idea 1
ideas 1
immigrant 1
immigrants 1
impressed 1
in 9
including 2
increasingly 1
inside 1
into 1
invitation 1
is 6
issue 1
it 1
italian 3
jean 11
jeans 1
jewish 2
job 1
keep 1
larger 1
late 1
later 1
laughing 1
lavette 5
leverage 1
levy 4
levys 1
library 1
lifelong 1
liners 1
ling 7
list 1
ll 1
loan 1
loans 1
looks 1
los 2
lose 1
love 3
luxury 1
many 2
margin 1
mark 2
market 3
marriage 1
married 2
may 8
meal 1
meeting 1
meets 2
mind 1
money 3
months 1
more 1
morning 1
mother 2
mothers 1
moves 1
muggers 1
multimillionaire 1
needed 1
news 1
nob 1
not 3
oakland 1
of 30
off 1
offers 1
on 7
one 2
only 1
onto 1
or 1
origin 1
other 2
out 1
own 1
owner 3
pair 1
parents 1
participates 1
partner 1
passengers 1
pedigree 1
place 1
playing 1
ploy 1
poor 1
position 1
prepare 1
prison 1
proceeds 1
profit 1
profits 1
quite 1
raging 1
receives 1
refuses 1
rekindling 1
relationship 1
remnant 1
request 1
returns 1
rich 2
rises 1
run 1
san 2
search 1
seek 1
seeks 1
segregationist 1
seldon 3
sell 1
sensing 1
service 1
several 1
share 1
shares 2
she 4
shipping 3
ships 1
shortlived 1
signs 1
since 1
sleeping 1
small 1
smitten 1
so 2
some 1
something 1
son 1
sonoma 2
soon 3
spends 1
spent 1
start 3
started 2
stock 1
stop 1
store 2
story 1
streets 1
strikes 1
subsequent 1
sullen 1
swathes 1
taken 1
than 1
that 4
the 60
their 2
they 6
this 3
those 1
three 2
times 1
to 27
together 1
torn 1
tragedy 1
tragic 1
traumatic 1
trysts 1
two 2
ultimatum 1
unable 1
up 2
use 1
uses 1
vagabond 1
vast 1
venturing 1
very 1
visiting 1
visits 1
voyage 1
waikiki 1
wakes 1
wanders 1
wants 2
war 2
wealthy 1
west 1
when 3
where 3
who 1
will 2
with 7
wo 1
work 1
works 1
world 2
wos 2
years 1
