13775265
/m/03chyl5
/m/03chyl5
Olaf Stapledon
1976
a 4
about 2
aeons 1
again 1
alien 1
an 1
and 14
angelic 1
as 3
at 3
attempt 1
author 1
be 1
become 1
begins 1
bizarre 1
bolt 3
book 1
breaks 1
bright 3
bring 1
brings 1
but 1
by 2
can 1
change 1
changes 1
clusters 1
come 1
complex 1
conflict 1
consciousness 1
considering 1
constant 1
cosmic 1
cosmical 1
cosmos 2
could 1
creates 1
creator 2
crumbling 1
dance 2
dead 2
demonic 1
development 1
discovered 1
dissolve 1
done 1
embody 1
end 1
entities 1
evershifting 1
express 1
face 1
fanatical 1
fascinated 1
feed 1
fellows 1
fire 3
first 1
flesh 1
focuses 1
for 1
frenzied 1
from 1
fuels 1
futility 1
god 1
harmony 1
heart 3
heavens 1
his 1
history 2
hope 1
how 1
however 2
human 3
if 1
immediately 1
immense 1
immensity 1
in 5
individual 1
into 2
is 5
it 1
journey 1
lifeforms 1
maker 2
manuscript 1
martyred 1
mask 1
most 1
narrator 3
nebula 1
nebulae 6
novel 1
observer 1
of 13
on 2
once 1
one 1
or 1
order 1
other 1
our 2
out 1
over 1
own 1
passions 1
peace 2
peopled 1
perverted 1
planets 1
point 1
preaches 1
quarrel 1
remaining 1
rest 1
results 1
revolution 1
revolutionary 1
saint 1
sees 1
senescence 1
similarities 1
single 1
singularly 1
sky 1
social 1
some 1
stapledon 1
star 1
staring 1
stars 1
such 1
takes 1
that 2
the 28
their 2
then 3
these 1
they 2
this 3
through 1
thus 1
time 1
to 4
tragedy 1
troubles 1
two 1
types 1
universal 1
universe 2
up 1
vast 1
vision 1
war 2
was 1
watches 1
who 2
whose 1
with 2
wonder 1
wonders 1
