14829216
/m/03gzbnk
/m/03gzbnk
Ted Dekker

{"/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/05hgj": "Novel"}
1 1
10 1
100 1
10000 1
12 1
20 1
5 2
6 1
7 1
a 53
about 11
actually 1
advised 1
after 10
again 3
against 2
agree 1
agreed 1
agrees 1
air 1
alive 3
all 10
allowed 1
alone 1
along 2
already 1
alucard 3
an 10
and 139
angel 1
anger 1
angered 1
angry 1
annihilate 1
another 1
any 2
anymore 1
anyone 1
anything 1
appeared 6
approached 3
archangels 1
are 8
arent 1
argued 1
arguing 1
argument 1
armed 1
army 1
around 2
as 20
asked 2
asleep 1
assassins 1
at 17
attack 3
attacked 1
attacking 5
awake 1
awakened 1
away 1
back 5
ball 8
bat 3
bathed 1
bats 14
battle 2
be 7
beast 2
beautiful 3
became 2
because 5
become 1
becoming 2
been 5
before 1
behind 1
being 1
believe 1
believed 2
below 1
best 2
beyond 1
bible 1
billos 17
bizarre 1
black 7
blacked 2
bleachers 1
blood 1
blue 1
book 6
books 11
both 1
branch 1
branches 1
broke 1
building 1
busy 1
but 15
by 9
cacti 1
cakes 1
called 4
calling 1
came 4
camp 2
canvas 1
captain 1
captured 1
celebration 1
center 1
changed 1
chatting 1
cheers 1
chooses 1
choosing 1
chosen 11
circle 1
clashed 1
cliff 1
closer 1
collided 1
coming 3
consciousness 1
constantly 1
conversation 1
conversed 1
costs 1
could 5
couldnt 3
crafty 1
created 3
creature 4
crevice 1
crowd 2
cut 1
cutting 2
dark 2
darsal 21
daughter 2
day 3
days 1
dead 6
dekker 1
desert 11
deserved 1
destiny 2
destroy 2
destroyed 1
devastate 1
devil 1
devils 1
did 3
didnt 2
die 2
dipped 1
disagreed 4
disagrees 1
discovered 1
dismissed 1
do 1
doesnt 3
doing 1
dont 1
doubting 1
down 1
dozen 1
dozens 4
dream 2
drinking 1
drowned 1
ducked 2
due 1
during 1
dying 1
each 5
east 1
edge 1
elyon 2
elyons 1
encounter 1
ended 1
enemies 1
enemy 1
enough 2
entirely 1
escort 1
eventually 3
ever 2
every 1
everyone 2
evil 1
expedition 2
extra 2
eyes 1
fact 3
falling 1
far 1
father 4
feared 1
felt 1
fever 1
few 1
field 1
fight 3
fighters 2
figure 1
filled 1
find 2
fire 2
first 3
fit 1
fleeing 1
flesh 1
flew 1
flying 1
follow 1
followed 1
food 1
fools 1
football 6
for 10
forces 3
forest 17
forests 3
found 6
four 10
frantic 1
from 13
fruits 1
fulfill 1
fuzzy 1
gabil 9
gabriel 1
game 2
gather 1
gathering 1
gave 2
gazed 1
general 2
get 3
gets 1
getting 2
give 1
given 1
gives 1
go 9
god 3
goes 1
going 11
gone 1
good 4
got 1
group 4
guard 11
guards 2
had 22
hadnt 1
hair 3
happy 2
has 4
have 3
he 46
head 2
heading 1
heads 1
healing 1
heard 4
hell 1
her 5
here 1
herself 1
hides 1
high 1
him 16
himself 1
his 20
history 8
hitting 1
honors 1
horde 12
horizon 1
horse 6
horses 1
hostage 1
hours 1
however 3
humans 2
hunter 6
hunters 1
idiot 1
if 3
igal 2
image 1
important 1
in 32
incident 1
included 1
including 1
information 2
infuriated 1
insists 2
into 10
introduced 1
is 11
it 21
jackov 4
johnis 87
just 2
kept 1
killed 3
killing 1
kills 1
knees 1
knew 14
knocked 1
know 2
known 1
lair 2
land 1
later 1
lead 1
leader 1
least 1
leave 2
left 1
legend 1
let 2
library 1
lightly 1
like 6
limb 2
lines 1
little 1
location 2
long 2
look 1
looked 1
lose 1
loss 1
lost 9
lot 1
loving 1
lucifer 1
mad 2
magic 1
major 1
make 4
man 1
many 3
marie 1
match 1
meant 1
meanwhile 9
medicine 1
members 1
mess 1
michael 1
michal 4
might 1
mikil 5
mind 1
minds 2
minions 1
missing 1
mixed 1
more 3
morning 3
most 3
mother 2
mothers 1
move 1
much 2
must 2
name 2
names 1
needs 1
nightfall 1
nightmare 3
no 2
nobody 1
noise 1
none 1
not 4
nothing 1
noticed 1
now 3
oasis 1
objects 1
of 46
oldest 1
on 13
once 1
one 5
ones 7
only 3
or 2
ordered 2
other 10
out 18
outrage 1
over 6
overhead 1
overjoyed 1
own 1
pacing 1
palm 1
panicking 1
pass 1
passage 1
path 1
peaceful 1
people 6
perched 3
pile 1
play 2
point 4
pool 1
possibly 2
poured 1
prepared 1
presumed 1
prisoner 1
probably 1
promise 1
promised 3
putting 1
qualities 1
quickly 1
qurong 14
qurongs 1
raise 1
ramos 11
rapidly 1
reached 1
ready 3
readying 1
realized 1
recently 1
recovered 1
recruits 2
red 2
refused 1
refusing 1
regain 1
relation 1
remembered 1
reminded 1
replied 1
reply 1
respect 1
response 1
retrieved 1
revealed 1
ridden 1
ride 2
riding 7
right 1
ring 1
rip 1
rock 1
rode 4
rolled 1
room 5
root 1
rotting 1
roush 11
run 1
sago 1
said 6
same 5
sat 1
satan 2
save 6
saved 1
saw 14
say 3
says 1
scab 3
scabs 4
scared 2
screams 1
second 3
see 1
seem 1
seemed 3
seeming 1
seen 1
sergeant 2
series 1
set 1
seven 1
several 3
shaitaiki 5
shape 1
she 10
short 1
shortly 1
should 1
showing 1
shows 1
sidelines 1
sign 3
silvie 22
silvies 1
since 2
size 1
sky 2
slapped 1
slaughter 2
sleep 1
sleeping 1
slept 2
smallest 1
smelled 1
smoke 1
so 9
sobbing 1
some 4
something 17
son 4
soon 1
sorry 1
sound 1
sounded 1
stadium 2
stairs 2
started 2
starting 1
stay 2
sticks 2
still 2
stood 1
stop 4
story 1
strange 1
strangely 1
strapped 1
strong 1
strongest 1
struck 1
stupid 2
subsequently 1
such 1
sudden 1
suddenly 1
supplied 2
surprise 1
surprisingly 2
survive 1
swung 1
take 5
taken 4
takes 1
taking 1
talked 1
talking 4
taro 1
team 1
teams 2
tears 1
ted 1
teeleh 14
teelehs 2
tell 3
telling 1
tent 2
terrible 1
than 1
thanks 1
that 49
the 198
their 10
them 25
themselves 1
then 39
there 8
they 36
thing 3
things 1
think 1
thinking 1
thinks 3
this 6
thomas 26
those 3
though 1
thought 8
thoughts 2
three 6
through 1
thundered 2
tied 1
ties 1
time 4
to 75
together 1
told 12
tons 1
too 5
took 1
total 1
toughest 1
towards 1
traitor 5
trap 1
trees 1
tricked 1
tried 2
truly 1
trying 1
two 11
ugly 1
underwater 1
unhappy 1
unsure 1
until 4
unusual 1
up 11
vanquish 1
very 2
vow 1
vowed 1
waist 1
wake 1
want 1
wanted 9
wants 2
war 1
was 87
wasnt 7
watched 1
watching 1
water 9
way 5
weird 2
went 9
were 33
werent 1
west 1
western 1
what 3
wheel 2
when 6
where 3
which 3
while 3
white 1
who 5
whoever 1
whole 1
wife 1
wildly 1
will 5
win 2
wings 1
wishes 1
with 21
within 1
without 2
woke 3
world 1
worried 2
would 6
yes 2
you 1
young 1
