5718430
/m/0f0y_c
/m/0f0y_c
Tamora Pierce
1994-11-17
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 10
ability 1
about 2
accused 1
act 1
against 1
alanna 2
all 1
also 1
an 2
and 20
archaeopteryx 1
are 2
army 1
around 1
as 4
asks 1
assembled 1
at 1
attack 1
aviary 1
away 2
badger 1
be 2
bear 1
been 1
before 1
behind 1
beings 1
best 1
birds 3
black 1
bodies 1
bones 1
both 1
brewing 1
brief 1
but 3
by 10
can 2
cannot 1
care 1
carthak 8
caught 2
caused 1
causing 1
chagrin 1
chaos 1
charming 1
chief 1
close 1
comes 1
complicated 1
congratulates 1
contains 1
continues 1
court 1
create 1
culminates 1
daine 18
daughter 1
days 1
dead 6
death 1
delegation 2
despite 1
dinosaur 1
disinclined 1
do 1
down 1
drug 1
dungeon 1
during 2
eating 1
efforts 1
eggs 1
elaborate 1
emperor 4
emperors 1
empire 1
episodes 1
excellent 1
except 1
exlover 1
fact 1
fascinated 1
feather 1
fights 1
find 1
finds 1
flee 1
flies 1
food 1
for 3
forcibly 1
former 1
four 1
friend 1
friends 1
from 3
fury 1
gareths 1
get 2
gets 2
gift 1
given 3
gives 2
god 3
goddess 2
gods 2
goes 1
good 1
graveyard 5
grip 1
had 2
hag 5
hall 1
has 3
have 3
having 1
he 5
healing 1
heir 1
helping 1
her 22
herself 1
highness 1
him 4
himself 2
his 9
hopes 1
horned 1
human 2
hunt 1
hyena 1
hyenas 1
ill 1
illness 1
image 1
imperial 1
in 14
includes 2
including 1
innocence 1
international 1
into 3
involving 1
ire 1
iron 1
is 14
it 3
kaddar 4
keys 1
killed 2
killing 1
later 2
leads 1
leave 2
life 1
lindhall 2
lioness 1
listens 1
looking 1
losing 1
mage 1
magelet 1
magic 1
make 1
makes 1
marmoset 1
matters 1
meanwhile 1
meets 2
metal 1
mixed 1
moonsword 1
more 2
mother 1
muhassin 1
must 1
mutes 1
mysterious 1
naked 1
named 1
naxen 1
neglecting 1
nephew 1
nervous 1
nest 2
nestlings 1
newly 1
no 1
not 3
noted 1
nuamir 1
numair 9
of 21
on 1
once 1
one 3
only 3
out 1
overcome 1
ozorne 10
paint 1
partly 1
party 1
people 1
planning 2
plotting 1
political 1
power 3
powerful 1
primarily 1
primary 1
prince 1
prized 2
proclaim 1
real 1
realizes 2
reanimation 1
reed 1
relations 1
released 1
religious 1
remember 1
resccued 1
rest 1
results 1
reunited 1
revival 3
revive 2
revived 1
reviving 1
rikash 2
robe 1
salmalin 1
salt 1
saving 1
saying 1
see 1
seems 3
self 2
sense 1
sent 1
series 1
several 3
she 13
side 1
significant 1
simulacrum 1
sir 1
situation 2
skeleton 1
slavery 1
sleep 1
smell 1
smooth 1
so 1
soothes 1
stabs 1
stirring 1
stormwing 3
stranger 1
supreme 1
surprise 1
taken 1
takes 1
talk 1
tasikhe 1
tastes 1
teacher 1
tells 5
that 12
the 45
their 1
them 1
then 3
they 3
this 2
though 1
time 2
times 1
to 26
tortall 1
tortallan 1
transforms 2
treason 1
trouble 1
troubles 1
truly 1
turns 2
uncle 1
understandably 1
up 4
urges 1
using 2
very 1
vessel 1
wakes 1
wants 1
warns 1
was 2
well 3
whatever 1
when 2
which 3
while 1
who 6
whole 1
wild 1
will 2
with 10
worship 1
years 1
zek 1
zekoi 1
