563697
/m/02qf9w
/m/02qf9w
Athol Fugard


500word 1
a 9
act 1
addresses 1
african 1
after 1
afternoon 1
again 1
all 1
almost 1
always 1
among 1
an 3
and 10
anger 1
angry 1
apart 1
apex 1
appears 1
are 1
arrives 1
as 6
asks 1
at 1
back 1
ballroom 4
beats 1
beauty 1
been 1
begins 1
being 1
black 1
boarding 1
boy 1
broken 1
but 3
by 3
call 1
calls 1
cant 1
causing 1
characterized 1
cheer 1
collisions 1
coming 1
competition 1
complications 1
composition 1
consoling 1
conversation 2
correctly 1
creating 1
creative 1
dancing 2
day 1
days 2
describes 1
despair 1
diagnoses 1
discussion 1
distraught 1
doesnt 1
drunkenness 1
due 1
each 1
embarrassed 1
emotional 1
end 2
english 2
enthusiasm 1
equal 1
explicitly 1
father 3
first 1
flashbacks 1
floor 1
fly 1
flying 1
footing 1
for 6
friends 2
from 4
glimmer 1
greatly 1
had 1
hally 15
harold 2
has 2
he 3
hearkening 1
help 1
her 1
him 3
himself 1
hints 1
his 8
home 1
hope 1
hospital 1
house 1
hurt 1
if 1
ii 1
immediately 1
in 6
insisting 1
intellectual 2
into 1
is 7
it 2
junk 1
kite 2
kites 1
know 1
known 1
lacking 1
later 1
learn 1
leg 1
life 2
lived 1
lost 1
made 2
magnitude 1
major 1
man 1
master 2
medical 1
metaphor 1
middleaged 1
more 1
most 1
moves 1
news 1
next 1
nickname 1
of 9
on 6
or 1
other 2
out 2
over 1
pain 2
paper 1
part 1
partner 1
permanent 1
play 3
playmates 1
possibly 1
practicing 1
preparation 1
problem 1
quickly 1
racism 1
rain 1
raining 1
rainy 2
rather 1
reaches 1
really 1
recently 1
reconciliation 1
relationship 1
remember 1
remembers 1
responds 1
returns 1
rifts 1
sam 14
school 1
schoolwork 1
servants 1
seventeen 1
she 1
simple 2
spends 1
spitting 1
start 1
steps 2
still 1
subservient 1
than 1
that 3
the 22
them 1
then 3
there 1
they 1
things 1
this 1
throughout 1
time 2
to 8
today 1
together 1
topic 1
transcendent 1
treat 1
turns 1
two 3
tyrannical 1
undergoing 1
understands 1
unleashes 1
up 1
used 1
vicarious 1
walks 1
war 1
warmly 1
was 1
we 1
when 3
which 1
white 1
whom 1
willie 8
with 4
without 1
world 2
worldly 1
yearold 1
years 1
you 1
