8379595
/m/0271d7_
/m/0271d7_
Lee Yeongdo

{"/m/01hmnh": "Fantasy"}
20 1
300 1
a 30
about 2
accept 1
access 1
adium 1
affairs 1
after 1
against 1
age 1
agents 2
ago 2
aids 1
all 1
along 2
also 1
ambushes 1
amount 1
amurtaht 5
an 3
and 42
another 3
answer 1
any 1
apparent 1
archmage 1
are 4
arena 1
arent 1
army 1
arrive 1
arrives 2
as 3
at 6
attack 1
attacks 2
attain 1
awakened 2
awakening 1
axelhand 1
back 1
bandits 1
battle 2
battlefield 1
battles 1
be 2
beautiful 1
become 1
been 2
begin 1
behind 1
between 1
big 1
black 2
blazing 1
blind 1
bloodline 1
blue 1
book 2
both 2
briefly 1
bring 2
brother 1
brown 3
bull 1
but 6
by 4
bysus 7
can 1
capital 6
captures 1
carlyle 1
catselprime 3
caused 1
certain 1
chases 1
chasing 1
chattering 1
chimber 1
cities 1
city 5
color 1
combines 1
comes 1
complete 1
condemned 1
conditions 1
confusion 1
consequences 1
continent 2
convinces 1
cooperation 1
could 1
covenant 6
crisis 1
crossroads 1
current 1
curse 3
dangers 1
darenian 1
daughter 2
day 1
decides 1
defeat 1
defeats 1
del 2
delighted 1
demands 1
demise 1
destroy 1
died 1
difficulties 1
divided 2
divine 1
djipan 1
djipen 2
djipenian 2
dragon 17
duchy 2
duke 1
during 1
dwarf 1
each 2
edhelin 1
eindelf 1
elf 1
empowered 1
encounter 1
enormous 1
enough 2
ensues 1
enters 1
eternal 1
every 1
exheir 1
existence 1
experiment 1
face 2
fairyqueen 1
fall 1
father 2
fief 2
fight 1
finally 1
find 6
first 1
follows 1
for 8
forces 1
forcibly 1
forest 1
fought 1
friends 1
from 8
gain 1
gauntlets 1
gift 1
gilsian 2
girl 2
gives 2
grand 1
great 3
group 1
guard 1
guild 1
haflings 1
hair 1
halschteil 5
halschteils 1
handrake 1
hands 2
hapa 2
has 8
haschteil 1
hasten 1
have 2
havoc 1
he 1
head 3
heads 1
help 1
helps 2
heltant 2
her 4
him 3
hire 1
his 8
hold 1
hoochie 9
hope 1
house 2
however 1
huritchell 1
identical 1
ilse 5
impel 1
in 12
including 2
indeed 1
information 1
intends 1
intention 1
into 5
iruril 5
is 8
jaheepun 1
jereint 1
jewel 1
jewels 1
jigoleid 1
journey 1
just 1
kan 1
karl 2
kidnaps 1
killed 1
king 6
known 1
kradmesser 7
labyrinth 2
lair 1
lake 1
land 1
lands 1
last 1
leaving 1
left 1
legendary 1
lenus 1
levnane 1
lives 1
long 1
looks 1
lord 2
lost 3
lover 1
magical 1
magnanimous 1
make 3
making 1
mansion 1
marquess 1
may 1
meet 4
meets 1
member 1
memories 1
middle 1
military 2
mines 1
more 1
most 1
mountains 5
murder 1
muscle 1
mysterious 1
neither 1
neria 4
news 3
nexon 11
next 2
nighthawk 1
nobleman 1
nor 1
not 1
now 1
observed 1
of 33
off 2
offers 1
ogre 1
old 1
older 1
on 3
one 1
only 3
operation 1
opg 2
or 2
orc 1
orcs 4
other 2
others 1
out 5
over 2
pair 1
panic 1
party 14
pass 1
pathological 1
pay 2
phenomenon 1
plagued 1
plain 1
plans 1
plots 1
polar 1
port 2
power 3
powered 1
powers 1
prepares 1
previous 1
priest 1
priestess 1
prince 1
prisoner 1
pronounced 1
pursuit 1
question 1
race 1
raja 10
rajas 1
ransom 4
reach 1
red 2
redhaired 1
release 1
released 1
remnants 1
rennie 5
repeated 1
report 2
reporting 1
rescue 2
return 1
returns 1
revealed 1
reveals 2
revenge 1
rush 1
sacred 2
sanson 2
save 1
saves 1
searching 1
secrets 2
selves 2
sent 1
separate 1
serenial 1
serious 1
set 1
several 1
shape 1
she 2
shione 3
signs 1
so 1
soldiers 1
solves 1
some 1
son 1
sorceress 1
spear 1
state 1
steal 1
stop 1
strange 1
subdue 1
subordinates 1
succeeded 1
survived 1
sword 1
take 4
taken 1
takes 1
tell 1
temple 1
teperi 1
terrorized 1
that 12
the 109
their 2
them 4
there 1
they 18
theyre 1
thief 1
thieves 1
thing 1
threat 1
three 1
through 1
throwing 1
time 1
to 37
together 2
town 1
traveler 1
treason 1
treasures 1
trio 2
trip 1
troll 1
true 1
turned 1
turns 1
tyburn 2
unchai 3
underlings 2
use 1
vampire 3
visit 1
visits 1
war 3
warrior 1
was 2
wearer 1
were 1
west 1
when 1
where 5
which 2
while 4
white 1
who 11
whoever 1
whom 1
wild 1
wisdom 1
with 16
witness 1
wizard 1
woman 1
works 1
years 2
young 3
