1466872
/m/053t88
/m/053t88
Lloyd Alexander
1968-06
11 1
a 17
able 4
about 1
accepts 1
accompany 1
achren 2
active 1
after 8
again 3
air 1
alarm 1
all 7
allegiance 1
allies 4
almost 1
alone 3
along 1
already 1
also 1
although 2
ambushed 1
amiss 1
among 2
an 3
and 69
animals 1
announces 1
annuvin 9
answer 1
any 1
appear 1
approaches 1
arawn 9
are 9
arm 1
army 3
arrive 3
arrives 1
as 6
ash 1
asking 1
asks 1
assistance 1
assistant 1
at 5
attack 3
attacked 1
attackers 1
away 1
awry 1
baby 1
bad 1
banner 3
bard 2
bardking 1
bards 1
battle 2
battlefield 1
be 5
bearing 2
bears 1
beautiful 1
because 3
become 1
been 3
before 5
beforech 1
begins 2
behind 1
beside 1
best 2
beyond 1
black 1
blade 1
book 2
branches 1
break 3
brethren 1
bring 1
broken 1
brute 1
burst 1
bursts 1
but 5
by 14
cadarn 1
cadiffor 1
caer 7
came 1
camp 1
cannot 1
cantrev 1
cantrevs 1
carnage 1
castle 1
cauldronborn 7
cause 1
cautiously 1
chance 1
chaotic 1
chased 1
chief 2
cleaves 1
cloak 1
closed 1
closing 1
coast 1
coll 1
come 1
command 1
commots 4
communicate 1
companion 1
companions 1
company 1
completes 1
concealed 1
concealments 1
conclusion 2
consults 1
control 1
costs 1
council 1
country 1
couple 1
course 1
courtyards 1
creatures 1
crow 2
crying 1
dallben 9
dathyl 3
day 3
days 1
death 1
deceived 1
decision 1
defeat 1
defenders 1
delay 1
depart 2
departing 1
designed 1
destroy 1
detects 1
determine 1
determined 1
determines 2
did 2
die 1
direct 1
discouraging 1
dismays 1
distance 1
divides 1
do 2
doli 1
don 6
done 1
down 3
dragon 2
draw 1
draws 1
during 1
dwyvach 1
dyrnwyn 6
east 1
easy 2
eiddileg 1
eilonwy 11
embark 1
embroidered 1
en 3
enchantments 1
end 1
endless 1
enter 1
entertaining 1
equip 1
escape 1
escort 1
even 2
evening 1
events 1
eventually 1
evidently 1
evil 1
exhausted 1
fade 1
failed 1
fair 5
falls 1
far 1
fatally 1
few 1
fflam 2
fflewddur 5
field 1
final 1
finally 3
find 1
finds 1
fires 1
first 2
flame 2
folk 4
folks 1
for 9
force 2
forces 2
foretells 1
form 1
former 2
fortress 1
fortunately 1
found 1
free 3
friend 1
from 11
futile 1
gate 1
gates 1
gather 1
gets 1
getting 1
giant 1
gifts 1
give 1
glew 1
go 1
goes 1
good 2
grabs 1
gravely 1
great 4
greatest 1
green 1
groups 1
guarded 1
guardian 1
guise 1
gurgi 2
gwydion 10
gwystyl 3
gwythaints 1
had 2
hall 1
hands 1
has 5
haste 1
hasten 1
have 8
he 20
headon 1
heals 1
hen 2
her 4
hevydd 1
hidden 1
high 4
hills 2
him 7
himself 2
his 15
hold 1
home 2
how 2
however 2
human 1
huntsmen 2
hurling 1
identifies 1
imprisoned 3
in 23
including 1
indeed 2
inevitably 1
injured 1
inscription 1
inside 1
insists 1
intervention 1
into 2
is 17
isle 1
it 14
its 1
itself 1
just 1
justice 1
kaw 2
killed 1
king 11
kingdom 1
kinsmen 1
kinswomen 1
knew 1
knows 1
land 1
last 5
lead 2
leads 1
learning 1
leave 1
leaving 1
led 1
left 1
length 1
less 1
life 3
llyan 1
llyr 1
long 1
longer 1
looks 1
lord 1
losing 1
lowland 1
made 1
magg 1
magic 2
magical 3
magically 2
make 1
man 1
manages 1
many 2
march 6
marching 1
marriage 1
married 1
masse 1
math 1
may 2
meanwhile 1
medwyn 1
meet 3
men 3
mona 4
more 1
mortal 1
most 2
mount 2
mountains 1
mounts 1
much 1
must 2
musters 1
nature 1
near 4
nearly 2
never 1
new 1
news 2
next 1
night 2
no 4
noble 1
none 1
north 1
northeast 1
northern 1
northwest 1
now 1
numbers 1
observations 1
of 52
off 1
old 1
on 4
one 2
only 7
oppose 1
option 1
or 1
oracular 1
orddu 1
order 2
orgoch 1
orphan 1
orwen 1
other 2
others 3
our 1
out 2
outside 2
over 1
overnight 2
parentage 1
parts 1
party 2
pass 1
path 1
peace 1
peak 1
people 1
permitted 1
personal 2
personally 1
pet 1
pig 3
pigkeeper 1
pivotal 1
plan 1
planning 1
potion 1
power 1
powers 2
presumably 1
previously 1
prince 1
princess 1
prisoners 1
proclaimed 1
promises 1
prophesied 1
propose 1
proposes 1
prydain 2
pryderi 1
purpose 1
quest 1
raised 1
rallied 1
rally 1
ram 1
ranks 1
raze 1
reach 5
read 1
reading 1
realizes 1
realm 2
realms 2
rebuild 1
receives 1
regain 1
regained 1
regaining 1
reinforce 1
rejected 1
reluctantly 1
remain 2
remainder 1
remorseless 1
restored 1
return 5
returned 1
returns 1
reveal 1
reveals 2
rhun 4
rock 1
rods 1
roll 1
route 6
rugged 1
ruins 1
rule 1
scabbard 1
sea 1
secure 1
seek 2
sees 1
seized 1
send 1
sends 1
separately 1
serpent 1
servants 1
served 1
set 1
sets 1
shall 2
shatter 1
she 2
ship 1
ships 2
should 1
shut 1
size 1
slay 1
slays 1
small 3
smash 1
smiths 1
smoit 4
smokes 1
snare 1
so 1
soldiers 1
something 1
sons 5
soon 1
southeast 1
spying 1
station 1
steward 1
still 1
stocked 1
stone 1
stores 1
story 1
straight 1
strength 1
strike 2
strikes 1
striking 1
stronghold 4
succeed 1
such 1
sufficiently 1
summer 1
summit 1
support 1
surface 1
surprise 1
sword 4
takes 1
taliesin 1
tapestry 1
taran 24
tells 1
than 2
thanks 1
that 10
the 118
their 5
them 6
then 2
there 4
they 11
thirds 1
those 1
thou 1
threat 1
three 2
thus 1
time 5
tipping 1
tired 1
to 62
token 1
tomorrow 1
too 1
traitor 1
travel 2
traveled 1
traveling 1
trees 1
truth 1
try 1
turn 1
turns 1
two 3
uncomfortable 1
uncovered 1
undead 3
under 1
unfinished 2
unharmed 1
unknown 1
up 2
upon 1
used 1
utterly 1
vague 1
verge 1
very 1
victory 2
visit 1
voluminous 1
wait 1
waiting 1
wall 1
wandered 1
wanderer 1
wandererch 1
wandering 1
wanes 1
warrior 1
warriors 2
wars 1
was 2
way 1
waypost 1
wayposts 1
weavers 1
well 2
wen 2
western 1
what 3
when 3
where 2
whereby 1
which 2
while 4
white 2
who 5
whose 1
wields 1
will 5
winter 1
witches 1
with 19
without 1
wolves 1
women 1
work 2
worth 1
would 2
writes 1
years 2
young 1
