20509867
/m/052147n
/m/052147n
Harry Turtledove


a 1
advantage 1
after 1
algarve 1
algarvians 3
allowing 1
and 2
attack 1
away 1
book 1
breaks 1
but 1
control 1
countries 1
declare 1
derlavai 1
do 1
drop 1
ends 1
fails 1
first 1
forthweg 2
from 1
gaining 1
generation 1
get 1
gyongyos 1
halfheartedly 1
ice 1
in 3
is 1
jelgava 1
joins 1
kuusamo 1
lagoas 1
land 1
meanwhile 1
most 1
obuda 1
of 4
on 2
only 1
or 1
out 1
overrun 1
part 1
people 1
plotting 1
reluctancy 1
seize 1
sibiu 2
six 1
so 1
split 1
succeeds 1
taken 1
that 2
the 11
their 1
them 1
then 1
to 4
tries 1
two 1
unkerlant 2
unkerlanters 1
use 1
valmiera 1
war 4
were 1
when 2
while 1
who 1
with 1
wrests 1
yanina 1
years 1
zuwayza 1
