8002397
/m/026n42t
/m/026n42t
Anthony Burgess
1960
{"/m/02yq81": "Comic novel", "/m/014dfn": "Speculative fiction"}
a 5
adventures 1
ailment 1
amuses 1
an 1
and 2
anesthetised 1
anxiety 1
at 1
battery 1
been 1
brain 2
burma 1
come 1
company 2
confined 1
diagnostic 1
disreputable 1
distress 1
doctor 1
dream 1
during 1
edwin 5
encounters 1
england 1
fantasy 1
for 1
friends 3
from 2
has 2
he 1
her 1
herself 2
his 2
home 1
hospital 1
hours 1
husband 1
in 1
into 1
is 3
keep 1
keeps 1
leaves 1
linguistics 1
married 1
most 1
mrs 1
mysterious 1
neurological 1
new 1
novel 1
of 4
over 1
phd 1
professor 1
pubs 1
rather 1
sends 1
sent 1
sequence 1
she 2
slightly 1
some 1
sometimes 1
spindrift 2
suffering 1
surgery 1
surrealistic 1
surrounding 1
tests 1
than 1
the 6
these 1
title 1
to 4
turns 1
undergoing 1
unhappily 1
various 1
visiting 1
ward 1
which 1
while 2
who 1
whom 1
wife 2
with 2
