15318692
/m/03m4sv9
/m/03m4sv9
Terry Pratchett
2008-09-11
{"/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
13yearold 1
1860 1
a 51
able 1
aboard 1
about 4
accept 1
accepting 1
accompanied 1
according 1
across 1
active 1
actual 1
adrift 1
adult 2
afraid 1
after 4
again 1
age 1
agree 1
albert 1
alive 1
all 1
allowing 1
almost 1
along 1
also 1
alternate 1
always 1
among 1
an 6
ancestral 1
anchor 1
anchors 3
ancient 4
and 54
announces 1
annoyed 1
another 2
any 1
anyone 1
are 5
around 1
arranges 1
arrival 2
arrive 6
arrives 1
as 17
at 9
ataba 6
attack 1
attempt 1
attempts 1
attention 1
attracts 1
autopilot 1
awaits 1
away 3
baby 1
back 2
basic 1
battle 2
bay 1
be 10
beach 3
because 2
become 5
been 4
beer 3
before 1
begin 1
begins 1
behind 3
believes 3
birth 1
bits 1
blowing 1
blue 1
board 1
body 1
book 8
bound 1
boy 5
breastfeed 1
bring 1
bringing 1
brings 1
british 1
brothers 1
built 1
burial 1
buried 2
bury 1
burying 1
but 9
by 12
called 3
came 2
can 3
cannibal 3
cannon 1
cannons 1
cannot 1
canoe 1
captain 1
care 1
carl 1
carta 1
carving 1
causes 2
cave 5
certain 1
chains 1
chamber 1
charles 2
chief 1
chiefs 1
chieftain 3
child 1
children 3
childsoul 1
choice 1
chronic 1
civilisation 1
claims 1
clear 1
coma 1
combat 1
combined 1
come 1
communicate 1
communication 1
completed 1
confronted 1
considerably 1
considers 3
convincing 1
corpse 1
corpses 1
counterpart 1
counterparts 1
country 2
cox 6
crab 1
create 1
created 1
crown 2
danger 1
dangerous 1
daphne 21
darwin 2
day 1
days 3
dead 3
death 2
defense 1
demon 2
deprivation 1
described 1
describes 1
desperation 1
destroy 1
determination 1
die 1
died 2
different 1
difficult 1
disassociate 1
discover 1
discoveries 2
discovers 2
discovery 1
distraught 1
do 1
does 1
doing 2
dolphin 2
dolphins 1
done 2
dont 1
dozens 1
drafted 1
drawn 1
dreaded 1
dream 1
dressed 1
drifting 1
drink 1
driven 1
drives 1
due 1
duel 1
duty 1
each 1
earth 1
einstein 1
elder 1
else 1
empire 2
end 1
ends 2
england 3
english 2
enormous 1
enough 1
enraged 1
enter 1
entire 3
epidemic 1
ermintrude 7
erupts 1
escapes 1
establish 1
everyone 1
explaining 1
explains 1
explicitly 1
failed 1
fails 2
faith 1
falls 1
false 1
family 2
