17879621
/m/047p6q3
/m/047p6q3
Adam Davies
2002
a 2
about 1
actions 1
an 2
and 5
arriving 1
assistant 1
at 1
be 1
bitter 1
but 3
by 1
cares 1
charming 1
commit 1
constantly 1
cynical 1
descent 1
destructive 1
driscoll 1
editorial 1
evie 1
failing 1
faithful 1
for 1
girlfriend 1
harry 1
he 5
her 2
his 4
house 1
impression 1
in 1
into 1
intoxicated 1
is 5
job 1
late 1
life 1
living 1
long 1
loves 1
major 1
make 1
new 1
not 1
office 1
only 1
or 1
publishing 1
rapid 1
secretly 1
self 1
send 1
seriously 1
soon 1
suffering 1
taking 1
tell 1
the 2
thing 1
to 2
troubled 1
unable 1
very 1
will 1
works 1
york 1
