13049308
/m/02z4lxf
/m/02z4lxf
Denis Johnson
2007
{"/m/02xlf": "Fiction"}
a 6
agent 1
air 1
algonado 1
also 1
and 6
around 1
asia 1
assassin 1
associations 1
bill 1
brother 1
but 1
canadian 1
characters 1
cia 1
colonel 3
dietrich 1
double 1
eddie 1
fest 1
fighter 1
filipino 1
for 1
force 1
francis 1
friend 1
from 1
german 1
hao 2
henchman 1
hero 1
his 3
houston 1
important 1
in 1
includes 1
infantry 1
interactions 1
is 1
james 1
jimmy 1
johnson 1
jones 1
kathy 1
major 1
minh 1
minor 1
named 1
nephew 2
ngo 1
nguyen 2
novel 1
now 1
of 3
official 1
pilot 1
plot 1
point 1
primarily 1
private 1
retired 1
revolves 1
sands 3
sargent 1
skip 1
southeast 1
storm 1
story 1
than 1
the 5
told 1
trung 1
turned 1
vietcong 1
view 1
war 1
who 1
william 1
with 1
work 1
worker 1
x 1
