12814208
/m/02x5__0
/m/02x5__0
Patrick Rothfuss
2007-03-27
a 36
abenthy 3
about 3
accepted 1
accepts 1
actually 1
addicted 1
addictive 1
admirably 1
advanced 1
after 3
again 1
allows 1
also 3
ambrose 3
among 1
amongst 1
amyr 1
an 4
and 33
arcanist 1
archives 2
archivist 1
arliden 1
arm 1
arrives 1
arrogant 1
as 8
asks 1
aspects 1
assistant 2
at 8
attacks 1
attempt 1
attempts 2
away 1
backwater 1
banishment 1
bast 6
be 3
beautiful 1
beauty 1
because 2
bed 1
been 1
before 1
begins 3
blue 2
bound 1
breaking 1
breaks 2
burning 1
but 7
buys 1
by 8
called 3
calling 1
can 1
candle 1
careful 1
cause 1
chandrian 6
changes 1
chase 1
childhood 1
chronicler 8
city 1
clever 1
come 1
composing 1
continue 1
continuous 1
corresponding 1
corruption 1
could 1
creatures 2
day 1
days 2
demon 1
denna 4
denner 1
designate 1
despite 2
develops 1
difficulties 1
disappears 1
discover 1
discovered 1
do 1
dolls 1
down 1
draccus 2
drawing 1
drugs 1
due 1
earning 1
earns 1
edema 1
education 1
elodin 1
encounter 1
ends 1
enemies 1
entanglement 1
eolian 2
equally 1
events 1
eventually 1
evil 1
exist 1
explains 1
extremely 1
faces 1
fae 1
fails 1
famous 2
farmer 1
father 1
feat 1
feelings 1
fend 1
find 3
fire 3
firebreathing 1
first 1
focus 1
for 2
force 1
form 1
friendship 1
from 6
funds 1
further 2
gather 1
gives 1
giving 1
glory 1
goes 2
good 1
graduate 1
great 1
happened 1
has 2
have 3
having 1
he 10
hears 1
heavily 1
helping 1
hemme 1
henceforth 1
her 1
herbivorous 1
hero 1
heroic 1
hiding 1
highly 1
him 9
his 14
hopes 2
immediately 1
in 11
infatuated 1
information 1
initially 1
inn 4
innkeeper 1
inside 1
intelligent 1
into 2
introducing 1
iron 1
is 15
it 3
kill 2
killed 2
killing 1
king 1
knows 2
kote 2
kvothe 29
lack 1
later 2
leads 1
legend 1
legendary 1
life 2
light 1
link 1
local 1
lured 1
lute 3
made 2
magic 1
magical 1
magician 1
makes 1
man 2
manages 1
manipulating 1
many 1
marred 1
massive 1
master 4
matters 1
meanwhile 1
meet 1
meeting 1
meets 2
mercenary 1
modern 1
money 2
monotonous 1
more 1
muchneeded 1
murder 1
musical 1
musician 3
mysterious 1
mystical 1
mythical 1
name 4
named 1
namer 1
names 1
naming 1
nearby 1
nearly 1
newarre 1
night 1
not 1
novels 1
object 1
objective 1
objects 1
of 26
off 1
often 1
on 5
ongoing 1
other 2
out 5
over 1
particularly 1
passing 1
patron 2
patrons 1
performers 1
performs 2
picks 1
pipes 1
planned 1
possessed 1
possible 1
poverty 1
power 2
prince 1
problems 1
proof 1
quantum 1
rampage 1
realizes 1
recognizes 1
record 1
reduced 1
refuses 2
remember 1
reported 1
reports 1
reputation 1
research 1
resin 1
responsible 1
resulting 1
return 1
returning 1
reunion 1
revealed 1
rides 1
rivalries 1
road 1
roaring 1
romantic 1
room 1
ruh 1
rumored 1
saves 1
science 1
scrael 1
scribe 1
seems 1
set 1
shake 1
sightings 1
simple 1
skarpi 1
small 2
some 2
somehow 1
song 1
sparsely 1
spends 1
spiderlike 1
story 5
storyteller 1
strange 1
street 1
student 4
subconsciously 1
subject 1
suitors 1
survives 1
suspicious 1
sustained 1
swordfighter 1
sympathy 3
system 1
take 1
taking 2
tale 1
talent 1
talented 2
tarbean 1
taunts 1
tavern 1
teach 1
tell 1
tells 2
that 12
the 65
their 1
thermodynamics 1
they 2
things 2
this 3
those 1
threatens 1
three 2
through 2
thus 1
time 2
titular 1
to 31
together 1
town 5
townspeople 1
train 1
traumatized 1
travelers 1
travelling 2
trebon 2
trees 2
trilogy 1
troubles 1
troupe 3
true 3
truth 1
tuition 1
two 2
unassuming 1
unequaled 1
unexpected 1
university 6
up 1
upon 1
urchin 1
urges 1
use 2
used 1
user 1
voodoo 1
vows 1
vulnerable 1
wanted 1
wanting 1
war 2
was 1
way 1
wealthy 1
wedding 2
weeks 1
what 1
when 2
which 1
who 5
whole 1
whom 2
widespread 1
will 2
wind 3
with 8
witnesses 1
woman 1
woods 1
work 1
years 1
young 1
