19049230
/m/04jd4rp
/m/04jd4rp
André Franquin
1979
a 5
adjusted 1
aerosol 1
aquarium 1
badly 1
but 2
can 2
comfortable 1
control 2
cupandball 1
device 1
divan 2
engine 1
fed 1
flows 1
for 1
fuel 1
full 1
gas 1
generator 1
giant 2
go 1
highly 1
hit 1
in 1
it 1
late 1
letters 1
light 1
machine 1
made 1
miniature 1
much 1
network 1
not 1
of 2
out 1
perfectly 1
pipes 1
plane 2
play 1
polluting 1
radio 1
readers 1
revolutionary 1
russian 1
satellite 1
scented 1
seller 1
shoe 2
shoes 1
so 1
substance 1
that 1
the 3
this 1
through 1
to 2
too 1
turns 1
user 1
water 1
which 2
with 1
works 1
