14513508
/m/03d5z7g
/m/03d5z7g
Ben Elton
2007-11-05
{"/m/0vgkd": "Black comedy", "/m/06nbt": "Satire", "/m/026ny": "Dystopia", "/m/0c082": "Utopian and dystopian fiction"}
a 19
about 2
accepting 1
accepts 1
affair 1
against 3
all 5
already 2
an 8
and 23
angry 1
another 1
apartment 1
are 6
arrested 1
as 9
at 2
attention 1
aware 1
backwards 1
bailey 2
banned 1
banner 1
be 3
become 1
becomes 3
been 3
begins 2
being 2
believes 1
belongs 1
better 1
between 1
blind 1
blog 1
blogs 1
bomb 1
books 1
born 2
breaks 1
building 1
burned 1
but 2
by 5
caitlin 7
called 1
cassius 3
catilin 1
cause 1
cell 1
centre 1
chantorria 6
child 1
children 3
cholera 1
chosen 1
coff 3
colleague 2
comes 1
community 1
confessor 2
confronted 1
confronts 1
containing 1
contains 1
convinced 1
daughter 1
day 1
dead 1
death 3
dee 4
desire 1
develops 1
devout 1
die 3
discovers 1
disease 1
diseases 1
distance 1
due 1
during 1
earlier 1
effect 1
else 1
email 2
endurance 1
entries 1
epidemic 2
epidemics 1
ev 1
everything 2
evolution 1
evolve 2
excellence 1
excuse 1
explicit 1
fact 1
faith 1
falafel 1
fallen 1
fascinates 1
few 1
finally 1
find 1
fizzy 3
for 3
forgetfulness 1
from 4
get 1
girl 1
given 1
god 4
goes 1
googing 1
gradually 1
group 3
half 1
happymeal 6
has 6
have 1
having 2
he 12
heat 1
her 8
heresy 1
heretics 1
him 5
his 10
hope 1
humanist 2
humanists 1
idea 1
ignorance 1
ignores 1
illegal 1
implicates 1
implicating 1
in 14
including 1
inevitably 1
inquisitor 1
interest 1
interference 1
into 3
introduces 1
invites 1
is 13
it 1
just 1
kiddies 1
kindred 1
knew 1
knowledge 2
knows 1
lateness 1
laws 1
lent 1
library 1
lifted 1
like 1
london 1
lost 1
love 2
loveletter 1
lunch 1
made 1
massive 1
maudlin 1
measles 3
mediocrity 1
member 1
message 1
most 1
mumps 2
must 1
not 2
notices 1
novel 1
numerous 1
of 14
off 1
office 1
officer 1
oldfashioned 1
on 3
one 2
opposing 1
oppressive 1
other 1
others 1
out 2
over 1
overcrowding 1
pair 1
parish 1
pc 1
people 2
personal 1
physically 1
plague 1
police 1
posting 1
prcis 1
present 1
pretense 1
preventable 1
privacy 2
promotes 1
protagonist 1
public 1
punishment 2
rare 1
rather 2
reason 3
reasoning 1
received 1
recruit 1
refuses 1
rejected 1
relationship 1
releasing 1
relishes 1
restaurant 1
result 1
rubella 1
sandra 4
science 1
secretly 1
sees 2
set 1
sets 1
sewell 1
sewells 2
shattered 1
she 8
short 1
showing 1
simply 1
society 1
someone 1
spirit 1
stake 2
stars 1
such 1
survival 1
survives 1
take 1
taken 1
telecommutes 1
telling 1
tells 2
temple 4
test 1
tetanus 2
than 2
that 15
the 33
their 2
then 1
theory 1
there 1
they 2
this 4
thousands 1
tied 1
time 1
to 19
torture 2
tortured 1
trafford 18
travel 1
tributes 1
tricks 1
tries 2
true 1
tubes 1
turns 1
typical 1
under 2
undercover 1
up 1
usually 1
vaccinated 4
vaccinates 1
vaccination 1
vaccinator 1
values 3
video 1
videos 1
visited 1
was 2
waving 1
way 1
wembley 1
when 2
where 1
which 4
who 3
wholesale 1
wife 1
will 3
wishes 1
with 2
work 1
world 4
worldtube 1
