28039954
/m/0cm85d8
/m/0cm85d8
Richelle Mead
2008
a 3
accepts 1
admittedly 1
ago 1
an 2
and 7
are 1
as 1
at 2
bastien 1
be 1
because 1
been 1
behaviour 1
best 1
better 1
bizarre 1
book 1
bookstore 1
boyfriend 1
but 2
cant 1
centuries 1
chaos 1
charming 1
choose 1
comehither 1
completely 1
corrupting 1
could 1
coworker 1
demon 1
demonic 1
did 1
distracting 1
double 1
doug 1
dougs 1
drain 1
draws 1
espressos 1
exhibiting 1
far 1
fast 1
finding 1
for 1
force 1
friend 1
from 2
georgina 7
georginas 1
get 1
giving 1
going 1
has 1
have 1
heavy 1
hell 1
help 1
her 5
highly 1
his 1
hot 1
hurts 1
if 1
immortal 1
immortality 1
in 2
incubus 1
irresistibly 1
is 7
it 2
its 1
jacket 1
job 1
join 1
just 1
kincaid 1
kincaids 1
kisses 1
knows 2
life 3
line 1
literally 1
local 1
love 1
mens 1
more 1
mortal 1
much 1
new 1
no 1
not 1
of 1
on 2
one 3
oneand 1
only 1
other 1
out 1
perks 1
personal 1
pleasure 1
power 1
preoccupied 1
purpose 1
radio 1
ranks 1
seduction 1
seems 1
shapeshifting 1
she 3
shedemon 1
shell 1
so 1
solo 1
some 1
something 1
soon 1
starand 1
suburbs 1
succubusa 1
sucks 1
suspects 1
talk 1
terrific 1
than 2
that 2
thats 1
the 7
this 2
to 3
ultraconservative 1
unfair 1
use 1
vibes 1
who 3
whose 1
with 2
wont 1
work 2
yes 1
