26058462
/m/0c1w_zw
/m/0c1w_zw
Rebecca Caudill
1949
{"/m/0dwly": "Children's literature"}
13yearold 1
1780 1
400 1
a 4
acres 1
against 1
an 2
and 3
apple 1
are 1
as 1
becomes 1
bertha 1
british 1
brother 1
build 1
by 1
cabin 1
calls 1
carolina 1
children 1
claim 1
clark 1
closer 1
comes 1
courier 1
crops 1
discover 1
dismayed 1
expedition 1
family 1
five 1
for 1
freedom 1
from 1
george 1
governor 1
grows 1
her 1
homestead 1
in 1
increase 1
indian 1
indians 1
is 1
joins 1
jonathan 2
kentucky 1
land 1
livestock 1
made 1
noel 1
north 1
novel 1
of 3
older 1
on 1
plant 1
raids 1
raise 1
rival 1
rogers 1
she 1
stephanie 2
story 1
sympathizer 1
tells 1
that 1
the 6
their 2
there 2
they 2
to 4
tree 2
venable 1
virginia 1
walk 1
war 1
which 1
who 1
with 1
