4734910
/m/0cklfs
/m/0cklfs
Jon Atack
1990-08-19
{"/m/05h83": "Non-fiction"}
1 1
2ndash8 1
37 1
a 3
about 1
and 4
are 2
arranged 1
atack 1
author 1
barefaced 1
belief 1
bibliography 1
book 1
by 1
chapters 1
chronological 1
church 1
conclusions 1
describes 1
dianetics 1
draws 1
experience 1
founder 1
from 1
history 1
hubbard 1
in 1
index 1
interviews 1
into 1
introductory 1
its 1
l 1
material 1
messiah 1
miller 1
nine 1
of 3
paper 1
part 2
parts 2
personal 1
plus 1
preface 1
reference 1
researched 1
ron 1
russell 1
scientology 2
sources 1
summary 1
system 1
the 3
