26264645
/m/0b77n2z
/m/0b77n2z
Roderick Gordon
2010-05-03
{"/m/07fwvc": "Subterranean fiction", "/m/06n90": "Science Fiction", "/m/08g5mv": "Lost World", "/m/01hmnh": "Fantasy"}
1 1
2 1
3 1
4 1
5 1
a 46
able 1
about 5
academic 1
across 1
after 5
against 2
agents 1
agree 1
air 2
akin 1
alive 2
allies 1
along 1
also 7
amount 1
amuse 1
an 7
ancient 2
and 88
angered 1
annihilate 1
any 2
apartment 1
appeared 1
appears 2
approaches 1
are 12
area 2
army 2
arrival 1
arrive 2
arrived 2
as 16
asking 1
aspects 1
assigned 1
assigns 1
assist 1
at 7
attack 2
attacks 1
attempt 3
away 2
back 9
badly 1
band 1
bartleby 1
based 1
battery 1
be 7
beans 1
because 4
becomes 1
been 4
before 3
befriended 1
begin 1
begins 5
begun 1
behest 1
behind 3
being 2
believe 1
believes 2
bergen 1
bergens 2
biological 1
bird 2
bismarck 2
bismark 1
block 2
blood 1
blowing 1
board 1
boat 1
body 1
bomb 1
bomber 1
book 2
boy 1
brain 1
brainwash 1
brainwashed 2
break 1
breaking 1
breathing 1
briefing 1
bright 1
bring 1
broken 2
brought 1
building 1
bulletin 1
burrows 16
but 12
by 16
cache 1
call 2
calls 1
camping 1
can 3
cannot 2
captive 1
captives 1
capture 1
carried 1
cars 1
case 2
cavern 1
cellar 2
centre 2
chancellor 3
changed 1
charges 1
chester 30
children 1
city 6
claims 2
close 2
closer 1
closure 1
clothes 1
cloud 1
coined 1
cold 1
colly 4
colonel 3
colonists 2
colony 3
comatose 1
come 1
comes 1
commons 1
compensates 1
complicit 1
confronts 1
conscious 1
consent 1
consider 1
contact 3
containing 1
continue 1
control 2
convince 1
coop 1
cottage 1
country 1
cox 2
dad 1
danger 1
dare 1
dark 4
darklit 1
dead 2
demand 1
demands 1
deprogram 1
destroy 1
detonate 1
devastated 1
developed 1
device 1
did 1
didnt 1
disappeared 1
discover 2
discovers 2
discuss 1
dived 1
do 1
does 1
doesnt 1
dominion 2
door 2
dotes 1
down 1
dr 7
drake 34
drank 2
due 1
during 3
eager 1
early 1
earth 1
eat 1
eating 1
eats 1
eddie 18
edward 1
elements 1
elliot 1
elliott 17
emily 1
enter 3
epilogue 1
equipment 1
errata 1
escape 2
estate 1
eternal 2
event 1
events 2
eventually 2
evidence 1
evident 1
examined 2
exchange 2
expeditionary 1
explanation 1
explodes 1
explosion 1
explosives 1
fallen 1
fallout 3
family 4
far 1
father 2
fed 1
feeding 1
fight 1
fighting 1
fights 1
find 7
finding 2
finds 4
fingers 1
finish 1
finishing 1
firearms 1
first 1
flare 1
flips 2
flown 1
foiling 1
following 1
food 1
foods 1
for 18
force 1
forces 2
found 2
free 1
freefall 2
frequent 1
friend 1
friends 2
frighten 1
frightens 1
from 10
gas 3
gave 2
general 2
germainian 1
germania 4
germanian 1
germanians 2
getting 1
giant 1
giving 1
go 2
goal 1
goes 2
going 1
government 1
grabs 1
green 1
greeted 1
group 3
grudge 1
gypsy 1
had 3
hands 1
has 10
have 5
he 29
head 5
heads 1
held 1
helicopter 1
helicopters 3
her 11
hidaway 1
high 1
highfield 3
him 19
himself 1
his 11
hisses 1
hit 2
hold 1
horribly 1
hospitals 1
hostage 1
hotel 1
house 3
how 2
hunter 1
identity 1
if 2
ii 1
impaired 1
in 36
incapacitate 3
incident 1
including 2
indeed 1
indirectly 1
inevitably 1
infatuated 1
influence 1
informs 2
inhabitants 1
initially 1
inner 2
inspect 1
intact 1
interest 1
interfere 1
interrupted 2
into 4
investigating 1
is 30
it 6
its 1
james 1
jeff 3
journal 1
jungle 2
just 2
kept 2
keypadlocked 1
keys 1
killed 3
killing 1
kills 1
kit 1
kitchen 1
knocked 2
knocking 1
knocks 1
laboratories 2
labyrinth 1
land 1
landed 1
lands 1
last 2
learns 1
leave 2
leaves 3
leaving 3
let 2
lied 1
light 3
limiter 7
limiters 3
lit 1
live 1
local 1
location 1
locks 1
long 1
mailmen 1
maintained 1
make 7
makes 1
making 1
manages 1
manipulated 1
manipulations 1
many 1
march 1
martha 9
mastermind 1
meanwhile 9
measures 1
meat 2
medic 1
meet 1
meets 1
met 1
metropolis 1
minister 1
mint 1
misjudged 1
mission 1
modern 1
mole 1
moments 1
morning 1
most 1
mostly 1
mother 1
motor 1
move 1
movies 1
mrs 10
mystery 1
named 1
native 1
nerve 2
new 9
news 1
next 2
night 1
noddy 1
north 2
not 7
novel 1
now 1
obsessively 1
obtain 1
occurs 1
of 41
off 2
offensive 1
officer 12
old 2
olfactory 1
on 7
once 1
one 7
only 5
open 2
operate 1
operating 1
operation 1
or 2
order 1
other 5
out 3
over 2
own 1
owned 1
panics 1
paralyses 1
parents 5
parry 1
part 8
partly 1
passage 2
patrol 1
people 3
permit 1
pesticide 1
pesticides 1
phial 1
phiall 1
picks 1
piping 1
place 4
plague 2
plan 5
planet 1
plant 1
plaque 1
play 1
plot 1
plotlines 1
point 1
police 1
pool 1
populated 1
portal 3
possible 2
power 1
practice 1
precaution 1
preparation 1
prepared 2
prepares 1
presence 1
presenting 1
pretending 2
prime 1
prisoner 2
prove 1
provided 1
put 1
pyramid 1
pyramids 1
rawls 4
ready 1
realise 1
realises 1
rebecca 12
rebeccas 9
recently 1
reclaiming 1
recognize 2
recovered 1
referred 1
regains 1
reich 1
rejoices 1
releasing 1
report 1
rescue 1
rescues 1
research 1
resembling 1
resisted 1
responsible 1
rest 2
restitution 1
results 1
retaliation 1
retired 1
retrieve 1
return 3
returns 3
reunion 1
revealed 1
reveals 1
revelations 1
revolted 1
roof 1
room 2
royal 1
run 2
safe 2
samples 1
savior 1
scene 1
scientists 2
search 2
second 10
see 1
seeing 1
seen 1
sees 1
series 1
serious 1
set 1
she 18
shelter 3
shielding 1
shifts 1
shoot 1
shoots 1
short 1
shortly 1
should 1
shower 1
shows 1
sick 1
sight 1
signals 1
skateboard 1
skulls 1
slice 1
slowly 1
small 2
snails 3
so 5
some 5
son 1
soon 1
south 1
specializes 1
spy 1
squad 1
staredown 1
start 1
still 3
stops 1
storms 1
story 4
stranded 1
stuka 1
styx 21
substitute 1
succeeds 1
suddenly 1
suicide 1
suit 1
sun 1
supersense 1
supplies 1
supply 2
support 1
supposedly 1
surface 2
surrenders 1
survive 1
suspiscions 1
systems 1
take 4
taken 1
takeover 1
takes 4
taking 1
talk 1
tank 1
teeth 1
tell 1
tells 6
that 35
the 190
theater 1
their 16
them 13
then 14
there 4
they 22
things 1
third 1
this 7
three 1
through 4
time 1
to 80
together 1
tom 1
took 1
topsoil 6
topsoilers 1
torture 1
tortured 1
toward 1
town 1
training 1
tranquilizing 1
trapped 1
trees 1
try 1
twin 1
twins 5
two 5
unable 1
unattended 1
unconscious 5
under 3
underground 3
understand 1
underworld 2
unnecessary 1
unpack 1
unpopular 1
unsuccessful 1
unsuccessfully 1
until 1
up 7
upsetwill 1
use 1
used 2
utilising 1
vaccine 3
various 3
vehicles 1
very 2
virus 4
viruses 1
visit 1
volkswagens 1
wake 1
wakes 2
walking 1
wants 3
war 2
warehouse 5
warfare 1
warning 1
was 8
watch 1
watches 1
way 5
ways 1
weapons 2
well 2
were 3
what 1
when 7
where 1
which 5
while 2
who 9
whom 1
whove 1
why 2
will 21
win 1
window 1
with 15
wont 1
work 1
working 1
workings 1
world 5
would 2
wounded 1
wrong 1
