12916365
/m/02xc_3f
/m/02xc_3f
Michael Reaves
2007-06-26
a 29
ability 1
about 3
advanced 1
afraid 1
after 3
again 2
airship 1
all 7
allowed 1
alone 1
already 1
also 2
altiverse 4
an 8
and 41
anymore 1
anything 1
appears 5
approaches 1
are 8
around 2
arrive 1
arrives 1
as 5
at 1
attached 1
attempt 1
average 1
back 5
balanced 1
base 2
be 2
beacons 1
because 1
becomes 1
before 3
begins 1
being 2
beings 1
bewitching 1
binary 1
biting 1
blowing 1
blue 1
body 2
boil 1
break 1
breath 1
brightly 1
brother 1
bubble 1
bubbles 1
built 1
bumps 1
but 5
by 7
called 5
calls 1
can 5
capable 1
capture 1
captured 5
cars 2
catch 1
cauldron 2
causing 1
center 1
changed 1
city 1
closing 1
coloured 1
colours 1
come 2
comes 1
communicates 1
congratulate 1
containing 1
copies 1
course 1
cyborg 1
death 1
decides 3
defeated 1
desert 1
destroyed 1
dies 1
different 1
dimas 4
dimensions 1
direction 1
discovers 1
disks 1
distracts 1
does 2
doesnt 1
dogknife 3
down 3
drowned 1
dying 2
earlier 2
earth 2
earths 1
effectively 1
emerges 1
engine 5
enter 1
entering 1
enters 1
equation 2
escape 6
escapes 2
essence 1
every 1
everyone 2
everything 1
except 1
exercise 1
exist 2
exit 3
explain 1
explains 1
explodes 1
face 1
fact 1
family 1
feels 1
few 1
field 1
fight 1
fighting 1
filled 1
find 3
finding 1
finds 3
flashing 1
floating 1
flying 1
fog 2
following 1
for 6
force 2
forms 1
four 1
free 1
friends 1
from 8
gate 2
getting 1
giant 1
girl 1
gives 1
go 5
goblin 1
goes 3
going 1
goodbye 1
green 1
greenville 1
grey 1
group 1
guards 1
had 2
happened 1
harker 1
harmless 1
has 6
he 21
head 1
heading 1
held 2
help 2
helps 1
her 2
heroic 1
herself 1
hex 4
hideous 1
high 1
him 7
himself 3
his 24
home 4
house 1
how 1
however 2
hq 3
hue 6
hyperspace 1
improve 1
in 17
inbetween 4
incinerating 1
indigo 2
infinity 1
initially 1
injured 1
instead 3
intense 1
interworld 6
into 5
is 23
it 8
iw 2
jars 1
jay 11
jo 1
job 1
joe 1
joey 42
joeys 1
joined 1
josephine 1
keep 1
kills 1
knock 1
lacrimae 1
lady 2
lands 1
large 2
last 1
lead 1
leader 1
leads 1
learns 1
leave 1
lectures 1
let 1
life 3
like 2
little 1
lives 1
living 1
looks 1
lord 2
lost 1
magic 1
magical 2
making 2
man 4
manages 1
many 2
mask 1
mathematical 2
mdlf 1
meet 1
member 1
memories 1
memory 2
men 2
mind 1
mirrored 1
missing 1
mission 2
months 1
more 1
move 2
moves 1
mr 4
mudluff 4
mudluffs 1
multidimensional 2
multiple 1
mundi 1
mystical 1
named 2
names 1
nets 1
neville 1
new 1
next 1
not 4
nothing 1
now 1
nowhereatall 3
of 14
off 1
old 2
omega 1
on 6
one 1
only 1
opens 1
or 2
organization 1
other 6
out 3
outfits 1
outside 1
over 5
own 1
part 1
people 2
place 1
plan 1
pocket 1
police 1
portal 1
powder 1
power 2
powering 1
prepare 1
prime 1
process 1
pulled 1
quickly 2
raw 1
reach 1
realm 1
recapture 1
red 1
remembers 2
rendered 1
resent 1
retrieve 1
return 1
returned 1
river 1
role 1
room 9
runs 2
safely 1
same 1
save 1
saved 3
saw 1
says 3
scarabus 3
school 1
science 1
scientific 3
see 1
seems 1
serpent 2
set 2
sets 2
shadow 1
she 1
ship 6
shocked 1
shortcut 1
shows 1
shut 2
signal 1
silver 2
skills 1
skin 1
so 1
social 1
soldiers 1
some 4
something 1
somewhere 1
soon 1
sort 1
souls 3
spacecraft 1
standing 1
stay 1
steps 1
stopping 2
strange 1
student 1
studies 1
studying 1
suddenly 1
supplies 1
supposed 1
take 1
taken 2
talk 1
tattoos 1
teacher 1
team 1
teammates 9
teleports 1
telling 1
that 8
the 59
their 7
them 6
then 5
there 3
they 11
thinks 1
those 1
three 1
through 1
thus 1
time 1
times 1
to 45
too 2
towards 1
town 3
training 1
transdimensional 1
transparent 1
trap 1
trapped 1
traveling 1
tries 1
trip 1
trouble 1
try 1
trying 1
turns 1
two 1
unintentionally 1
untie 1
up 1
used 1
using 2
very 1
walk 1
walkers 5
walks 1
way 1
wearing 2
well 1
when 4
where 7
which 3
while 3
who 6
will 3
wipes 1
wiping 1
with 8
without 2
woman 1
words 1
work 1
working 1
world 3
worlds 2
wrongdoings 1
year 1
yellow 1
