22950159
/m/063_hl9
/m/063_hl9
Pat Conroy
1986
18 1
a 15
about 6
abuse 2
abusive 1
acts 1
advertised 1
after 4
all 2
also 1
although 1
an 4
and 37
apologetic 1
as 4
at 2
atlanta 1
atomic 1
attempt 3
attempts 3
beating 1
became 1
because 1
become 1
becomes 2
becoming 1
begins 1
behind 1
being 4
best 1
better 2
between 1
bloody 1
boat 1
bodies 1
bomber 1
bridges 1
brother 1
building 1
business 2
but 3
by 7
caesar 2
callanwolde 1
can 2
capture 1
carolina 1
caused 1
changed 1
cheats 1
childhood 5
children 4
choosing 1
city 3
closer 2
colleton 2
comes 1
commission 1
completely 2
concerned 1
concludes 1
confronted 1
construction 1
conversation 1
county 1
course 1
crewman 1
damage 1
death 1
decides 1
despite 2
destroy 1
detached 1
did 2
died 1
discover 1
discuss 1
dispose 1
divorce 1
divorcing 1
does 1
dogs 1
down 2
dr 1
driving 1
drug 1
earlier 1
emerging 1
emotionally 1
en 1
encounter 1
end 1
ended 1
ends 1
energy 1
equipment 1
escape 1
escapes 1
evade 1
even 1
event 1
eventually 1
ever 1
exnavy 1
experienced 1
falls 1
family 8
father 6
fbi 1
feels 1
fight 1
figure 1
figures 1
finally 1
finding 1
first 2
flashbacks 1
for 4
force 1
forgive 1
former 1
forward 1
frivolous 1
from 4
gained 1
gas 1
getting 1
give 1
goes 1
grandmother 1
guerrilla 1
had 2
hallucinations 2
happened 1
haunting 1
have 1
he 7
helped 1
helping 1
henry 3
her 10
herself 1
him 4
himself 2
his 13
home 2
hopes 1
house 1
how 3
hurting 1
husband 1
image 1
in 11
incidents 1
instead 1
into 1
involving 1
is 6
island 2
it 2
just 1
kill 1
killed 2
kills 2
know 1
land 3
landowner 1
later 1
latest 2
learn 1
learned 1
leave 1
let 1
life 2
like 1
lila 5
live 1
look 1
love 2
loves 1
lowenstein 7
luke 6
made 1
making 1
man 4
managed 1
many 2
marriage 1
marries 1
meeting 1
meetings 1
melrose 2
men 4
money 1
most 2
mother 6
moves 1
nazis 1
nearly 2
never 4
new 2
newbury 1
next 2
nickname 1
not 3
novel 4
of 19
offspring 1
old 1
on 3
one 1
only 1
operator 1
order 1
other 1
out 2
outside 1
overly 1
part 1
past 1
persuade 1
persuaded 1
pet 2
place 1
plants 1
poetry 2
poverty 1
prison 2
problems 1
production 1
profession 1
prominent 1
promise 1
proud 1
psychiatrist 1
public 1
pursuits 1
pushed 1
raise 1
rape 2
raped 1
raping 1
realizes 1
recovery 1
reese 3
regularly 1
relates 1
relationship 1
released 1
releases 1
remember 1
repaired 1
returns 1
reveals 1
revelation 1
rival 1
route 1
sallie 2
savannah 14
save 3
saving 1
say 1
schizophrenic 1
seal 1
sees 1
sells 2
served 1
settlement 1
several 1
she 5
shot 2
shrimp 1
siblings 1
sister 1
so 1
soul 1
south 1
spent 1
starting 1
station 1
statushungry 1
still 2
story 1
succeeds 1
successful 1
suicide 4
surrender 1
survived 1
susan 1
tactics 1
take 1
tell 2
tells 1
that 12
the 44
their 9
them 2
then 1
there 1
these 1
they 6
this 1
thought 1
through 2
tiger 2
time 1
to 29
tom 20
tracked 1
trafficking 1
traumatic 1
travels 1
try 1
two 2
ultimately 1
uncaring 1
understand 1
up 4
using 1
vietnam 1
wanted 1
was 7
way 3
ways 1
we 1
were 3
what 2
which 3
who 9
wife 1
window 1
wingo 1
with 6
wood 1
word 1
working 1
would 3
write 1
writer 1
writing 1
wrote 1
wwii 1
years 3
york 2
