21598879
/m/05m_jt4
/m/05m_jt4
Alex Berenson
2006
{"/m/06wkf": "Spy fiction", "/m/05hgj": "Novel"}
11 1
11th 1
a 17
able 1
about 1
absence 1
accused 1
accuser 1
afghanistan 2
after 2
agent 1
al 8
alqaeda 3
an 2
and 7
are 2
army 1
as 1
atlanta 1
attack 2
attacks 2
back 1
bacteria 1
band 1
battle 3
be 1
because 1
been 4
before 1
begins 1
being 3
below 1
bigger 1
bombings 1
bombs 1
book 1
but 2
by 1
can 1
canada 2
chechnya 1
cia 5
collect 1
collecting 1
completing 1
contact 1
continue 1
creating 1
crew 1
dc 1
decides 1
detonates 1
did 1
distraction 1
due 1
during 1
duto 1
escapes 1
exley 2
fellow 1
few 1
fighting 1
for 3
forces 1
from 3
general 1
get 1
given 2
group 1
grow 1
handler 1
has 4
have 1
he 9
heads 1
heather 1
held 1
help 2
hi 1
hiding 1
hillside 1
himself 2
his 6
house 1
however 1
hundreds 1
impending 1
in 9
incommunicado 1
infected 3
information 1
innocent 1
is 7
it 1
jennifer 1
john 3
khadri 1
kill 1
killing 3
knowledge 1
la 2
larger 1
leader 1
learns 1
length 1
many 1
marines 3
me 1
meanwhile 1
meets 1
member 1
members 3
message 1
middle 1
mission 2
months 2
much 1
navy 1
no 1
not 1
of 11
on 5
order 1
other 1
out 3
pakistan 1
pandemic 1
people 1
plague 3
plan 1
planning 1
plans 1
polygraph 1
population 1
prior 1
prisoner 1
proves 1
put 1
qaeda 8
raging 1
really 1
reconnects 1
retired 1
returned 1
returns 1
safe 1
say 1
scientist 2
secretly 2
send 1
september 1
several 2
ship 1
small 1
so 1
something 1
spends 1
spread 1
states 4
stationed 1
suitcase 2
take 3
task 3
terrorist 1
terrorists 2
test 1
that 2
the 27
their 2
themselves 1
then 1
this 1
throughout 1
thwarting 1
to 17
truck 1
try 1
two 3
undercover 2
unfaithful 1
united 4
us 2
usa 1
used 1
via 1
vinny 1
visits 1
war 1
warn 1
washington 1
wells 9
where 2
while 1
who 2
with 9
within 1
working 1
years 2
