15105382
/m/03hhl2f
/m/03hhl2f
Bernard Werber

37 1
a 6
adjemian 2
adventure 1
africa 2
after 1
ago 1
and 3
answer 1
are 2
article 1
as 1
asks 1
becomes 1
before 1
bernard 1
biography 1
book 1
case 2
cave 1
claimed 1
close 1
come 1
covers 1
crime 1
deals 1
decides 1
died 1
do 1
east 1
entwined 1
fiction 2
find 1
for 4
former 1
from 1
fundamental 1
genres 1
he 2
help 1
her 1
identity 1
in 4
intense 1
intermingled 1
investigation 1
is 2
isidore 1
isodore 1
it 2
journalism 1
journalist 1
katzenberg 1
kill 1
know 1
known 1
last 1
leave 1
life 1
link 1
literary 1
lucrce 3
mainly 1
man 1
million 1
missing 1
murdered 2
nemrod 1
of 4
order 1
others 1
out 1
palaeontogist 1
people 1
philosophical 1
place 2
plot 2
police 1
present 1
professor 2
question 1
reaches 1
ready 1
reporter 1
reveals 1
scientific 2
second 2
secret 1
simply 1
simultanenously 1
some 1
somewhere 1
story 1
style 1
suspense 1
takes 2
the 15
this 2
to 5
typical 1
uncover 1
until 1
very 1
was 1
we 1
werber 1
when 1
where 1
which 2
why 1
with 2
word 1
years 1
young 1
