1812924
/m/05yz4p
/m/05yz4p
Mordecai Richler
1989
a 1
account 1
and 5
any 1
are 2
as 2
associate 1
be 1
best 1
between 1
book 1
bothered 1
bronfman 2
bronfmans 1
by 1
canada 1
change 1
cited 1
connected 1
critics 1
denied 1
disguised 1
disparate 1
dont 1
events 1
expedition 1
family 3
fans 1
fictional 1
franklin 1
generations 1
gursky 2
have 1
himself 1
his 1
history 1
i 1
in 2
including 1
is 1
it 2
know 1
longtime 1
may 1
mordecai 2
names 1
novel 2
of 5
one 1
other 1
parallels 1
put 1
richler 2
rumrunning 1
scope 1
seen 1
several 2
similarities 1
some 1
style 1
such 1
tells 1
terms 1
that 1
the 10
thinly 1
this 1
to 2
unmatched 1
while 1
who 1
why 1
works 1
