9729176
/m/02pqdtz
/m/02pqdtz
Terry Goodkind
2007-11-13
{"/m/03qfd": "High fantasy", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/05hgj": "Novel", "/m/02xlf": "Fiction"}
a 20
about 1
accept 1
accepts 1
access 1
additive 1
adie 2
admits 1
affected 1
after 2
again 1
against 2
agent 1
all 2
allows 1
alone 1
along 1
also 3
an 5
and 46
ann 1
announces 1
answer 1
appears 1
are 4
arguing 1
army 1
around 2
arrive 1
arrives 1
as 9
assumes 1
at 3
attack 2
attacked 1
attempt 1
attempts 2
azrith 1
back 2
bandakar 1
be 5
beast 1
because 1
been 2
before 1
begin 1
beginning 1
being 2
believe 1
bells 1
benjamin 1
between 1
bodies 1
book 3
books 1
box 3
boxes 6
bringing 1
but 6
by 19
camp 1
can 1
capture 1
captured 2
capturing 1
cara 3
carry 1
catacombs 3
caused 1
causes 1
chainfire 1
chalk 1
chances 1
chase 1
child 1
chimes 2
cloaked 1
close 1
command 1
commander 2
compatriots 1
compensation 1
complete 1
confessor 2
contaminated 1
contaminating 1
contamination 1
continue 1
control 1
correct 2
could 1
counted 2
covering 1
created 1
damage 2
dark 4
day 2
dead 1
death 1
decision 1
defeats 1
deliver 1
denna 1
destroy 1
devoid 1
devotion 1
dh 1
dharan 2
dies 1
discover 2
discovers 2
disguise 2
disguised 1
disguises 1
dragon 1
drawn 2
dreams 1
during 4
earlier 1
egg 1
emigrants 1
emotions 1
empire 1
ends 1
enslaved 1
ensuring 1
enter 2
entryway 1
epilogue 1
escape 2
eventually 1
everyone 1
everything 1
excavations 1
expecting 1
explains 2
faces 1
fail 2
fallen 1
false 1
family 1
fear 1
fears 1
figure 1
final 1
find 1
finding 1
first 2
flaw 1
fly 1
followers 1
for 4
forces 2
forgetting 1
forgive 1
friedrich 1
from 8
fruit 1
future 1
garden 2
gathering 2
general 1
ghostie 1
gift 1
give 1
given 2
gives 1
giving 1
gobblies 1
goes 2
gradually 1
gratch 2
greeted 1
gregory 1
guide 1
guise 1
had 5
halfsister 1
has 6
have 4
he 11
help 2
helped 2
helps 1
her 19
hiding 1
him 8
himself 4
his 11
hold 1
if 2
immediately 1
imperial 1
imprisoned 1
imprisonment 1
in 15
include 1
inhabitants 1
intent 1
intimidating 1
into 8
invalid 1
involving 1
is 26
it 4
its 2
jagang 10
jala 2
jennsen 2
jillian 1
jin 1
kahlan 11
keep 4
key 2
keys 1
killing 1
kills 2
kneeling 1
leader 1
league 1
lest 1
lets 1
life 3
light 1
like 1
live 1
living 1
locks 1
longer 2
loss 2
lost 2
love 3
loves 1
lured 1
magic 6
magicians 1
malicious 1
man 1
many 1
marriage 2
married 1
martyrdom 1
mated 1
meets 1
meiffert 1
members 1
memories 4
memory 2
message 1
mostly 1
mother 2
moved 2
much 2
mud 2
must 1
name 2
nasty 1
nathan 2
neck 1
new 2
nicci 10
nightmares 1
no 2
none 1
not 2
now 5
of 46
old 1
on 4
once 1
one 1
open 4
opening 1
orden 5
order 6
original 1
other 1
out 1
own 1
pair 1
palace 5
panis 1
particularly 1
parts 1
people 5
piece 1
places 1
plains 1
play 1
player 1
point 1
poison 1
power 2
powerless 1
prepare 1
prevent 1
prevents 1
previous 2
priestess 1
projected 1
protect 1
protected 1
provide 1
pursuing 1
put 1
questions 2
rachel 4
radahan 1
rahl 3
rape 1
reason 1
recapture 1
red 2
refuses 2
refusing 1
regaining 1
releases 1
releasing 1
removal 1
removing 1
rendering 1
repair 1
replies 1
rescue 1
rescued 1
reset 1
restored 1
restores 2
retrieves 1
reveal 3
revealed 2
revealing 1
reveals 1
richard 27
richards 1
rikka 1
ring 1
riot 1
ritual 1
rival 1
ruben 1
rybnik 1
samuel 3
saved 1
scarlet 1
secret 1
send 2
sends 3
sent 2
series 2
sets 1
shadows 2
she 8
shota 4
shows 2
sister 1
sisters 6
six 8
sizing 1
so 1
soldiers 1
son 1
specter 1
spell 5
spellforms 2
spells 1
spirit 2
steals 1
still 1
struggle 1
subjects 1
success 1
suitor 1
summon 1
surprise 1
surrender 1
surrendering 1
sword 3
symbols 1
take 1
taking 1
tamarang 3
taught 1
teach 1
team 4
teammates 1
teams 1
tells 1
temple 1
terms 1
terrible 1
that 16
the 96
their 4
them 4
then 7
there 1
they 5
third 1
this 4
though 1
three 1
through 1
time 1
to 47
told 3
tom 3
touches 1
tournament 1
transfers 1
true 2
truth 2
ulicia 1
unceremoniously 1
under 4
underworld 3
unfair 1
unguarded 1
untouched 1
up 1
upon 2
uses 3
using 1
violet 2
visit 1
visited 2
warden 1
warned 2
was 1
way 3
wedding 1
were 2
what 1
when 1
whence 1
where 2
whereas 1
which 4
while 1
who 8
whom 1
will 2
win 1
winds 1
winterthe 1
wipe 1
witch 2
with 9
wizard 2
wizards 1
woman 2
world 7
worlds 1
would 1
year 1
young 1
zedd 7
