5596086
/m/0dvcn_
/m/0dvcn_
Uzodinma Iweala
2005
a 14
about 3
advances 1
african 1
after 1
agu 15
agus 2
all 2
along 1
also 1
amy 2
an 3
and 29
any 1
are 1
army 3
as 1
back 1
be 2
because 1
become 2
becoming 1
before 1
befriends 1
behind 1
believe 1
bible 2
bloody 2
boy 2
bus 1
but 5
by 4
came 1
can 1
care 1
child 2
childhood 1
clothes 1
coerce 1
comes 2
commandant 1
commander 3
confidante 1
cooked 1
could 1
crimes 1
day 1
dies 1
disbanded 1
do 2
doctor 2
doing 1
down 1
dream 1
during 1
eat 2
enough 1
escape 1
every 1
evils 1
exhausted 1
face 1
family 2
father 2
fear 1
fears 3
feces 1
feelings 1
fellow 1
finally 1
fire 2
food 2
for 4
force 1
forced 3
forces 2
found 1
friend 2
gaining 1
game 1
get 1
gets 1
goats 1
god 2
guerrilla 1
had 2
hardships 1
has 2
hates 1
have 1
he 16
health 1
her 2
hides 1
him 5
himself 1
his 11
holds 1
home 1
how 4
however 1
human 1
important 1
in 9
initiation 1
invites 1
is 11
isnt 1
it 2
join 2
kill 1
killed 2
killing 3
kills 1
known 1
knows 1
leave 2
leaves 1
lieutenant 1
like 1
little 1
lived 1
lives 1
living 1
longer 2
looting 1
loses 1
love 1
make 1
man 1
many 1
meaning 1
men 1
missionary 1
mother 1
mute 1
named 2
neverending 1
new 2
no 3
not 1
novel 1
of 7
on 1
only 2
other 2
others 2
past 1
people 1
play 1
preacher 1
rambo 1
rape 1
rats 1
read 1
reading 1
rebel 1
receive 1
redeem 1
reminisces 1
run 1
same 1
save 1
say 1
school 1
see 1
seemingly 1
sexual 1
share 1
shelterhospital 1
shoesman 1
shoots 1
shot 1
sick 1
sins 1
sister 1
sleep 1
small 2
so 3
soldier 3
soldiers 4
some 1
soon 2
starvation 1
stop 1
strength 1
strika 3
tells 2
that 6
the 22
their 2
they 3
thinks 1
this 4
thoughts 1
through 1
time 3
times 1
to 20
together 1
track 1
trial 1
true 1
try 2
ultimately 1
unarmed 1
under 1
understanding 1
used 2
very 1
village 1
wanting 1
wants 3
war 9
was 1
water 1
way 2
what 3
when 2
white 1
who 2
will 2
wishing 1
woman 1
would 1
wrong 1
