6645172
/m/0gfzl0
/m/0gfzl0
Phyllis Eisenstein
1988-11
a 7
aliza 10
allies 1
allows 1
aloof 1
also 2
an 2
and 13
as 1
be 2
because 1
been 1
blank 1
budding 1
but 2
by 1
capture 1
causes 2
cold 1
confront 1
confusion 1
craft 2
cray 10
crystal 1
day 1
dedicated 1
defeat 1
degree 1
delivev 1
demand 1
demon 3
desire 2
despite 1
destined 1
disapproval 1
discouraged 1
does 1
during 1
each 1
enchanted 1
encourages 1
entirely 1
everand 4
feldar 2
find 1
finds 1
focused 1
for 3
forms 1
free 1
freed 1
friend 1
friendship 2
from 2
gazes 1
girl 2
grandfather 2
has 1
he 6
heart 2
her 6
himself 1
his 3
home 1
however 2
idea 1
image 1
in 4
initial 1
interest 1
into 2
is 9
it 4
journey 1
latter 1
learns 1
leverage 1
lives 1
looks 1
love 1
lovely 1
many 1
mirror 3
mother 1
no 1
obedience 1
of 7
on 1
one 1
order 1
ormoru 1
other 1
outside 1
over 1
palace 1
partly 1
quickly 1
rallies 1
realize 1
realizes 1
realm 3
remains 1
revealed 1
see 1
seer 1
sees 1
sepwin 1
shatter 1
she 1
shown 1
skilled 1
solely 1
some 1
sorcerer 2
sorceress 3
sorcery 1
soul 4
stolen 1
strongly 1
study 1
take 1
that 3
the 13
their 2
this 5
to 11
transform 1
travel 1
ultimately 1
until 1
upon 1
uses 1
villain 1
watches 1
when 1
which 1
who 3
whoever 1
with 2
within 1
woman 1
world 1
worst 1
years 2
young 2
