3417912
/m/09bfbq
/m/09bfbq
James Blish

{"/m/014dfn": "Speculative fiction"}
a 7
an 1
and 3
another 1
attempts 1
be 1
beam 1
begin 1
behind 1
body 1
captain 2
create 1
created 1
crew 1
destroyedbut 1
disassembled 1
dr 1
duplicate 1
duplication 1
elementary 1
empire 1
enemy 2
enterprise 1
episode 1
experimental 1
exposure 1
expresses 1
far 1
fear 1
federation 1
find 1
first 1
for 2
goes 1
has 1
having 1
he 2
his 2
imprison 1
in 2
is 1
killed 1
kirk 2
klingon 2
later 1
lines 1
location 1
manages 1
mccoy 1
method 2
mr 1
new 2
notable 1
novel 1
of 6
one 2
organia 1
organians 1
original 2
public 1
replacement 1
resulting 1
returning 1
scotty 1
see 1
send 1
series 1
similar 1
something 1
soupedup 1
space 1
spock 1
spocks 1
tachyon 1
tachyons 1
teleportation 1
terribly 1
that 2
the 9
them 1
themselves 1
theory 1
this 1
through 1
time 1
to 6
transporter 2
travel 1
two 1
uses 2
uss 1
via 1
war 1
was 1
which 1
with 1
within 1
without 1
wrong 1
