6826394
/m/0gr64r
/m/0gr64r
John Buchan, 1st Baron Tweedsmuir

{"/m/01jfsb": "Thriller"}
a 3
action 2
also 2
an 1
and 3
arbuthnot 1
are 1
as 1
book 1
bright 1
buchan 1
but 1
by 1
called 1
clanroyden 1
clearly 1
courts 1
describes 1
dingraville 1
england 1
faroe 1
fifties 1
focuses 1
from 3
great 1
hannay 2
he 2
heir 1
help 1
his 1
in 4
is 3
island 1
islands 1
john 1
knew 1
last 1
later 1
located 1
lombard 1
lord 1
man 1
morning 1
norlands 1
novel 1
now 3
oath 1
obtains 1
occurs 1
of 4
old 1
on 3
once 1
particular 1
peter 1
place 1
protect 1
sandy 1
scotland 1
secret 1
several 1
sheep 1
solemn 1
some 1
son 2
stereotypical 1
takes 1
teenager 1
the 11
there 1
this 1
to 2
treasure 1
twelve 1
villains 1
what 1
when 1
who 1
years 1
