1034471
/m/0405c0
/m/0405c0


{"/m/06n90": "Science Fiction"}
2d 4
a 9
abbott 2
about 1
accidentally 1
across 1
actual 1
actually 1
ajem 1
alak 1
all 2
an 3
and 10
answer 1
appears 1
appendix 1
arde 1
ardean 3
are 3
artificial 1
as 8
astronomy 1
attaching 1
because 1
become 1
begins 1
biology 2
but 1
by 3
call 1
chemistry 1
communicate 1
communication 1
computer 2
considered 1
construction 1
contact 1
continent 1
creatures 1
crosses 1
danger 1
describes 1
designed 2
destination 1
devised 1
dewdney 2
digestive 1
diverse 1
eastwest 1
edwin 1
even 1
evolution 1
example 1
explaining 1
explains 1
features 1
feels 1
find 1
fit 1
flatland 1
for 5
fundamentals 1
games 1
geography 1
glue 1
has 1
have 1
he 3
head 1
highly 1
his 3
houses 1
how 1
ie 1
impede 1
impediment 1
in 4
inhabitants 2
instead 1
into 1
is 2
issues 1
it 1
its 1
journey 1
keyboard 1
kollosh 1
learn 1
make 1
means 1
more 1
most 1
movement 1
mysterious 1
nails 1
name 1
narrator 1
no 2
not 1
ns 1
nsana 1
objects 1
of 9
on 2
one 1
onedimensional 1
or 2
philosophical 1
philosophy 1
physics 1
politics 1
printout 1
referred 1
replies 1
reveal 1
reversed 1
science 1
single 1
so 1
society 1
solution 1
some 1
somehow 1
sort 1
speech 1
spirit 1
splitting 1
spoken 1
students 5
such 2
surprise 1
tape 1
telepathic 1
the 14
their 3
themselves 1
there 1
they 3
thinks 1
thoughts 1
to 6
tools 1
topics 1
tract 1
travelogue 1
two 2
twodimensional 1
typing 1
underground 1
universe 1
updown 1
used 1
useless 1
vertical 1
with 4
world 2
worldnbsp 1
written 1
yendred 6
yendwed 1
yndrd 1
