3195372
/m/08ygz_
/m/08ygz_
Herman Raucher
1971
{"/m/05hgj": "Novel"}
1yearold 1
a 40
abandoning 1
about 6
absentee 1
absentminded 1
acknowledges 1
actions 2
activities 1
actually 1
addresses 1
after 1
again 1
aged 1
aggressive 1
agrees 1
ahead 1
al 1
also 1
although 1
always 1
amount 1
an 7
and 30
another 2
antique 1
apartment 2
appear 1
are 1
around 1
artist 1
as 9
asks 2
assistant 3
assistants 1
assuming 3
asylum 1
at 16
attempting 1
attempts 3
attorney 2
au 1
away 2
back 10
be 7
beach 1
because 1
become 1
becomes 3
becoming 1
bed 1
been 1
before 1
befriends 1
begin 1
begins 2
behavior 2
being 4
belief 1
believing 1
benefits 1
beyond 1
bizarre 1
blind 1
blow 1
bodily 1
bomb 1
bomber 2
book 2
breaking 2
briefly 2
brings 1
broken 1
building 1
but 5
by 6
carefree 1
cash 1
caught 1
chance 1
character 2
characters 1
charity 1
cheating 1
christianity 1
city 1
clerks 1
clich 1
closing 1
collecting 1
come 3
comedy 1
comes 1
compelled 1
con 1
concerned 1
connections 1
considers 2
continues 1
conversation 1
corner 1
couch 1
count 1
coworkers 1
current 1
daily 1
date 2
dates 1
day 4
decides 1
dedicated 1
degenerate 1
demoted 1
denouncement 1
department 1
depraved 1
desk 1
detail 1
detonates 1
develops 1
diner 1
direct 1
document 1
donations 1
dracula 1
dressed 1
drug 1
due 1
earlier 1
earning 1
eating 1
either 1
eject 1
electricity 1
elsewhere 1
embassy 1
ending 1
ends 1
engages 1
engaging 1
enough 1
entries 1
envisions 1
eponymous 1
escape 1
escapes 1
essential 1
evacuates 1
eve 1
everyone 1
evidence 1
evolve 1
except 1
existence 1
explains 1
fat 4
feel 1
feelings 1
felt 1
fight 1
find 2
finding 1
firm 6
first 3
firstperson 2
flaming 1
followed 1
fondness 1
food 2
for 10
forming 1
fortunes 1
frantically 1
free 1
friday 1
friend 1
friendly 1
frightens 1
from 5
fully 1
functions 1
furious 1
game 1
games 2
gaudy 1
get 1
gets 1
getting 1
girl 3
go 2
god 1
goes 1
going 2
granted 1
great 1
grifter 1
grifters 1
grocery 1
half 1
handsome 1
happy 1
has 3
hatred 1
having 1
he 14
her 25
hero 1
him 10
himself 3
his 20
home 4
homeless 1
hour 1
hurling 1
identities 1
if 1
immature 1
in 21
incident 1
incredibly 1
indianapolis 1
initially 1
insane 1
instead 2
into 8
invaluable 1
invites 1
is 13
it 2
italicized 1
job 1
jolson 1
journal 1
juggler 1
jumps 1
keeps 1
killed 1
knowing 1
known 1
knows 1
large 1
last 2
later 1
law 5
lawyers 1
leave 2
leaves 1
leon 2
less 1
let 1
letters 1
life 3
line 1
little 1
living 1
london 2
long 1
looking 1
lover 2
luther 27
mad 2
main 1
man 2
may 2
meaningful 1
meaningless 1
meanwhile 2
meets 1
men 1
middle 1
mind 1
minute 1
mismatched 1
money 2
monopoly 1
move 2
moving 1
named 2
narrated 1
narration 1
narrations 1
narratives 2
naturally 1
nearly 1
need 2
new 2
next 1
night 2
no 1
nonpayment 1
nonsensical 1
nose 2
not 3
novel 4
now 1
obsessed 1
of 26
off 2
office 2
old 1
on 11
one 8
only 2
operation 1
optometrist 1
or 3
other 2
over 1
overdosed 1
pair 2
parents 2
part 2
passengers 1
passionate 1
pattern 1
people 2
performing 1
person 5
persona 2
personal 2
personalities 1
phone 1
phones 1
plans 1
planted 1
playful 1
playing 1
plotting 1
point 1
position 1
possesses 1
premises 1
pressure 1
pretending 2
pretends 1
promoted 2
prompting 1
proper 2
pulls 2
purpose 2
put 1
puts 1
ramblings 1
rants 1
rather 1
reader 1
real 3
reassures 1
recants 1
recognizes 1
reenter 1
refuses 2
relationship 1
remains 1
repairing 1
requests 1
restaurant 4
resulting 1
returns 1
reveal 1
revoir 1
rich 1
riot 1
rodentlike 1
roleplaying 1
romantic 1
room 1
routine 2
routines 1
run 1
running 1
russian 5
sadly 1
same 1
samples 1
say 1
scamming 1
schemer 1
secretary 2
seducing 1
seek 1
sees 1
segment 1
segments 3
series 1
sets 1
sex 1
sexually 1
she 14
shift 1
shopping 1
shortly 1
shower 1
showing 1
shows 3
shut 1
silent 1
singer 1
sleep 1
small 1
sneaking 1
society 2
some 3
sometime 1
spare 1
sparking 1
speaking 1
spite 1
sporadic 1
stalker 1
stands 1
starting 1
steven 3
still 1
stores 1
street 1
subway 1
successful 1
such 1
sudden 1
suit 1
surviving 1
switch 1
table 1
takes 1
talk 1
than 2
that 11
the 43
their 1
them 2
then 2
theodore 1
there 3
thereafter 1
thief 1
third 3
this 4
though 1
threatens 1
through 1
throughout 1
tiger 20
time 4
to 49
together 2
toys 1
travels 1
tries 1
try 1
turn 1
twist 1
two 2
tying 1
typing 1
typist 3
unending 1
unidentified 1
up 6
usual 1
vacationing 1
very 1
waiter 1
waiters 1
waiting 1
walking 1
wants 1
watching 1
wedding 1
wetting 1
what 1
when 2
whenever 1
where 1
which 1
while 3
whim 1
who 5
whom 3
whose 1
why 1
will 1
win 1
with 14
wondering 1
wonders 1
woo 1
words 1
working 1
workings 1
works 1
worrying 1
wreckage 1
writing 1
year 1
york 1
young 1
ywca 2
