8892720
/m/027nlhl
/m/027nlhl
Erik Swyngedouw
2005-03-25
across 1
against 1
aim 1
analyses 1
and 5
areas 1
backdrop 1
between 2
book 1
clarify 1
deregulation 1
economy 1
emergence 1
european 1
examining 1
exclusion 1
favour 1
forms 1
governance 1
harmony 1
in 1
increasingly 1
indepth 1
investment 1
is 1
labour 1
life 1
linkages 1
markets 1
may 1
metropolitan 1
necessarily 1
neoliberal 1
new 3
not 1
of 5
offers 1
policies 1
polity 1
private 1
promote 1
relationship 1
restructuring 1
social 2
spaces 1
that 1
the 7
to 1
trends 1
union 1
urban 5
which 1
within 1
