2783141
/m/082fc5
/m/082fc5
Lois Lenski
1945
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
20th 1
and 3
animals 1
are 1
between 1
birdie 1
book 2
boyer 1
boyers 3
but 1
by 1
cattle 1
century 1
characters 1
come 1
conflict 1
deals 1
early 1
end 1
families 2
feud 1
florida 2
girl 1
heightens 1
in 2
into 1
let 1
loose 1
main 1
move 1
neighbors 1
new 1
novel 1
of 2
pony 1
raise 2
reconcile 1
roam 1
ruins 1
set 1
shoestring 1
slater 1
slaters 2
story 1
strawberries 2
strawberry 1
the 16
their 2
they 2
through 1
title 1
to 2
two 3
who 1
whose 1
with 2
