17284095
/m/043jtw9
/m/043jtw9
Dennis Bock
2001-09-04
{"/m/02xlf": "Fiction"}
15 2
a 11
after 2
aftermath 1
alternates 1
amends 1
american 2
an 2
and 16
anniversary 1
anton 7
appears 1
approaches 1
around 1
as 2
at 3
atomic 3
attends 1
audience 1
austria 1
away 2
back 1
be 1
becomes 3
been 2
beginning 1
belief 1
between 1
bll 1
board 1
bombing 2
bombs 1
bringing 1
brother 3
but 1
by 2
camp 1
canada 1
cares 1
character 1
characters 1
columbia 1
conference 1
consequences 1
cuba 1
dead 1
deaths 1
diagnosed 1
dies 1
direction 1
disagreement 1
disease 1
documentary 1
during 1
each 1
elaborate 1
emiko 7
end 1
ensured 1
episode 1
events 1
every 1
extent 1
feeling 1
fiftieth 1
filmed 1
filmmaker 1
find 1
first 1
flees 1
following 2
for 3
france 1
from 2
funeral 1
further 1
gardening 1
germany 1
get 1
girl 1
girls 3
grandfather 3
group 1
had 3
he 8
her 12
him 1
hiroshima 3
his 1
hospital 2
in 12
interest 1
involved 1
is 3
it 2
its 1
jewish 1
kingdom 1
landscapes 1
later 1
life 2
list 1
living 2
louis 1
lupus 1
maintains 1
make 1
manhattan 1
marries 1
media 1
medical 1
memorial 1
met 2
more 1
ms 1
narrative 1
nazi 1
necessary 1
new 2
nuclear 1
of 13
on 4
outside 1
parents 3
part 3
patients 1
place 1
planning 1
portugal 1
prevented 1
professor 1
program 1
project 2
pugwash 1
receiving 1
reconstructive 2
recording 1
recover 1
recruited 1
refugee 1
refusing 1
regarding 1
regrets 1
retires 1
reveals 1
scientist 1
secretly 1
sent 2
she 7
side 1
small 2
some 1
sophie 5
spain 1
st 1
states 1
story 1
succumbs 1
surgery 2
takes 3
tests 1
thanking 1
that 2
the 26
this 1
though 2
three 1
to 13
told 1
toronto 1
town 1
travels 2
treatments 1
turned 1
united 2
university 1
up 1
us 2
via 1
volunteering 1
waiting 1
war 1
was 10
way 2
when 2
which 2
while 1
who 1
with 5
witnesses 1
working 1
wwii 2
year 1
york 1
younger 1
your 1
