37373
/m/099yl
/m/099yl
John Milton
1667
118 1
1674 1
640 1
a 13
about 1
abyss 1
act 1
adam 17
added 1
aeneas 1
after 4
against 1
aided 1
all 1
alone 1
also 6
an 1
and 35
angel 1
angelic 2
angels 2
another 1
approach 1
arcs 1
arduous 1
are 4
arguments 1
as 5
asleep 1
at 4
augmented 1
awake 1
aware 1
background 1
banished 1
banishing 1
battle 1
battles 1
be 1
beelzebub 1
been 1
begins 1
being 5
belial 1
beneficial 1
between 1
book 4
books 3
both 1
bound 1
bow 1
braves 1
but 2
by 4
called 1
calls 1
cast 1
chaos 1
christ 1
christian 1
command 1
commits 1
committed 1
convention 1
convinced 1
creates 1
creation 3
culminating 1
dangers 1
days 1
death 1
debate 1
declares 1
defeated 1
defeating 1
die 1
dies 1
different 1
disguised 1
distant 1
distinct 1
division 1
doing 1
domestic 1
each 2
earth 1
eat 2
eating 2
eden 3
edition 3
employs 1
enables 1
encouragement 1
end 1
engage 1
enters 1
entire 1
epic 3
eve 15
everything 1
evil 1
experience 1
explicit 1
faithful 1
fall 2
far 1
father 1
favoured 1
figure 1
final 1
find 1
first 4
flesh 1
flood 1
followers 1
following 1
follows 2
for 4
forces 1
form 1
freedom 1
from 6
fruit 2
full 1
fully 1
fundamentally 1
future 1
garden 2
gave 2
generally 1
god 9
good 1
grace 2
great 1
greater 1
greatly 1
guilt 1
happen 1
happier 1
has 2
have 6
having 2
he 8
head 1
heaven 3
hell 2
her 3
heroic 1
him 1
his 4
however 1
humankind 2
if 1
imprints 1
in 17
into 2
invisible 1
involves 1
is 14
issued 1
it 2
ix 1
jesus 1
kind 1
king 1
knee 1
knowingly 1
knowledge 1
largescale 1
later 2
latin 1
learning 1
legion 1
lengths 1
lines 1
literature 1
longest 1
lucifer 1
lustful 1
made 1
mammon 1
mankind 2
manner 2
material 1
may 1
medias 1
messiah 1
michael 4
midst 1
milton 2
moloch 1
more 1
most 1
must 1
mutual 1
narrative 1
new 4
newlycreated 1
nightmares 1
not 1
now 1
odysseus 1
of 26
omnipresent 1
on 2
one 5
or 3
organise 1
original 1
originally 1
other 2
out 1
outside 1
over 3
pandmonium 1
paradise 1
passions 1
penalty 1
personalities 1
place 1
pleas 1
poem 3
point 1
poison 1
portrays 1
potential 1
power 1
present 1
presented 1
preying 1
published 1
purging 1
realizing 1
rebel 1
rebellion 1
rebels 1
receive 1
reconcile 1
recounted 2
recrimination 1
redemption 1
relationship 2
reminiscent 1
res 1
revised 1
rhetoric 1
rhetorical 1
right 1
rule 1
same 1
satan 7
says 1
sections 1
separated 1
serpent 1
sex 1
shame 1
she 2
shortest 1
shown 1
sin 3
since 1
singlehandedly 1
sinned 1
sinner 1
skill 1
so 2
somewhat 1
son 1
soon 1
starting 1
still 1
story 4
subsequent 1
successfully 1
sue 1
suppliant 1
take 1
tangible 1
tartarus 1
tells 1
temptation 1
tempts 1
ten 1
terrible 2
than 1
that 12
the 46
thee 1
them 3
they 7
things 1
thinking 1
this 3
three 1
through 1
time 2
to 13
today 1
total 1
tradition 1
traverse 1
tree 2
tricking 1
twelve 2
two 1
unlike 1
until 1
upset 1
used 1
vanity 1
varies 1
very 1
vii 1
vision 2
volunteers 1
war 1
warfare 1
was 3
were 1
what 1
which 1
while 2
who 1
whom 1
will 1
with 5
within 1
without 1
witnesses 1
world 2
would 1
wrong 1
