19604029
/m/04n3cgh
/m/04n3cgh
Fred D'Aguiar
1994
1810 1
a 2
after 1
and 6
angered 1
attempts 1
away 2
back 2
betrays 1
blames 1
book 1
brother 1
brought 1
by 2
captured 2
carried 1
catches 1
chapel 4
connections 1
cook 1
daughter 1
day 1
death 2
diary 1
die 1
dies 1
direct 1
due 1
events 1
everybody 1
extacts 1
falls 1
father 1
fearing 1
fever 1
finds 1
finished 1
for 1
from 2
given 1
goes 1
had 1
half 1
having 1
he 6
his 6
hold 1
home 1
however 1
if 1
in 3
instructions 1
is 5
it 1
join 1
jr 2
junior 1
local 1
love 1
lover 1
lydia 1
memories 1
mr 2
newspaper 1
north 1
not 2
occurrences 1
of 7
out 2
overseer 1
owner 2
place 1
plantation 5
returned 2
run 1
sanders 4
senior 1
slave 2
son 1
specific 1
state 1
story 1
taking 1
that 3
the 19
then 2
time 1
to 7
unaware 1
until 1
virginian 1
was 2
weak 1
were 1
when 1
where 1
whereabouts 1
which 1
whipped 2
whipping 1
whitechapel 4
will 1
with 3
year 1
young 1
