23950781
/m/076xh7n
/m/076xh7n
Margaret Weis

a 2
after 1
all 1
and 2
aspirations 1
became 1
behind 1
black 1
but 1
city 2
control 1
dark 1
destroy 1
discovers 1
dispatches 1
draconians 1
dragon 1
dragons 1
entered 1
excuse 1
eye 1
find 1
follows 1
for 1
forces 1
godhood 1
gods 1
has 1
he 3
her 3
his 1
hourglass 1
however 1
in 1
it 2
joining 1
kitiara 1
lord 1
mage 1
magic 2
majere 1
matar 1
meanwhile 1
motivations 1
moves 1
neraka 1
night 1
of 7
older 1
on 1
orb 1
orders 1
own 1
plot 1
plots 1
power 1
protects 1
queen 1
raistlin 4
reality 1
reveals 1
rise 1
robe 1
seize 1
set 1
she 1
sister 1
stop 1
takhisis 3
that 1
the 11
to 8
trap 1
travels 1
uncovers 1
under 1
uth 1
when 1
who 1
wizard 2
