14445492
/m/03d3rzg
/m/03d3rzg
Tom Stoppard

a 13
about 1
accusing 1
an 3
and 4
another 1
apparent 1
are 3
arrives 1
as 4
asks 1
astonished 1
ballroom 1
banana 1
becomes 2
begins 1
being 1
bizarre 1
broken 1
bullets 1
by 1
calls 1
caper 1
characters 1
complicity 1
continues 1
counterweight 1
couple 1
crawls 1
crime 1
crippled 1
dancer 1
dancers 1
darkness 1
end 1
entirely 1
even 1
event 1
exhibit 1
explanation 1
false 1
family 2
finding 1
floor 1
foot 1
for 4
gallery 1
getting 1
gradually 1
group 1
had 2
harris 1
has 1
he 3
held 1
his 1
house 1
hurriedly 1
in 5
increasingly 1
inside 1
inspector 3
instance 1
invents 1
is 2
known 1
lampshade 1
look 1
looking 1
magritte 2
magrittelike 1
male 1
man 2
memories 1
minstrel 1
mother 1
named 1
of 8
offers 1
on 2
one 2
outside 1
paintings 1
people 1
performed 1
picture 1
play 2
plays 1
policeman 1
posed 2
rational 1
ready 1
reginald 1
reminiscent 1
ren 2
ridiculous 1
room 1
scene 1
seen 1
stage 1
stands 1
story 1
surreal 1
suspicious 1
tableau 3
tate 1
the 20
thelma 1
them 1
they 1
this 1
through 1
to 1
total 1
tuba 1
two 1
used 1
where 2
which 1
window 1
with 1
woman 2
