1292785
/m/04qmm_
/m/04qmm_
Cory Doctorow
2004-03-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
0 1
3am 1
a 10
after 2
afterwards 1
all 1
alternates 1
an 3
and 9
another 1
approve 1
are 1
art 7
as 4
associate 1
asylum 5
at 1
attack 2
automobiles 1
back 1
be 1
been 1
behind 1
berry 1
betrayal 1
between 2
book 1
car 1
care 1
circadian 1
claims 1
committed 1
company 1
complex 1
conspiracy 1
consultant 1
contract 1
coveted 1
coworker 1
cross 1
culminates 2
cut 2
deal 1
delivers 1
despite 1
discovers 1
do 1
double 1
doubleagents 1
eastern 1
enable 1
engineer 1
escape 1
est 2
even 1
experience 1
fact 1
fede 5
figures 1
flawed 1
for 3
form 1
founding 1
from 1
get 1
girl 1
girlfriend 1
give 1
going 1
greenwich 1
has 2
have 2
he 7
health 1
her 1
him 1
himself 1
his 12
hits 1
however 2
human 1
idea 2
in 9
insane 2
inside 1
institutions 1
is 1
it 2
knowing 1
knowledge 1
later 1
linda 2
located 1
london 3
market 1
may 1
meeting 1
meets 2
members 2
music 1
new 1
novel 1
of 5
on 4
online 1
order 1
out 1
own 1
peertopeer 1
physically 1
place 2
plan 2
plans 1
plot 3
points 1
products 1
proposals 1
protagonist 1
protect 1
psychiatric 1
result 2
rhythms 1
same 1
sell 1
sent 1
set 1
sharing 1
standard 1
subtly 1
takes 2
taking 1
talents 1
the 16
their 2
them 2
they 3
though 2
throughout 1
time 1
to 13
tribe 4
tribes 1
two 1
undermine 1
using 1
view 1
what 1
when 1
where 2
with 1
wont 1
works 1
world 2
would 1
zone 1
