24702627
/m/0805k95
/m/0805k95
Paul Zindel
1969
300 1
a 20
abortion 2
about 3
advice 1
after 3
again 1
agrees 2
ahead 1
alcohol 1
alerted 1
alone 1
an 3
and 22
another 1
any 1
apparent 2
appeals 1
appears 1
are 2
arrive 1
as 8
asks 1
assembly 1
at 6
atrocious 1
attempt 1
auditorium 1
away 1
baby 2
back 4
backs 1
be 4
because 1
becomes 3
becoming 1
beginning 1
begins 2
best 2
bleeding 1
both 1
boy 3
break 2
but 4
by 5
california 1
called 1
can 2
car 1
carstensen 1
catastrophe 1
class 1
closer 2
collins 1
comfortable 1
company 1
condition 1
connections 1
conservative 1
constantly 1
contemplates 1
currently 1
dance 5
dashingly 1
date 6
decide 1
decides 2
declares 1
deeply 2
dennis 6
despite 2
distressed 1
doctor 2
does 2
double 1
down 2
dropped 1
during 1
elated 1
end 1
enough 1
eventually 3
everything 2
experiencing 1
explained 1
father 3
few 1
fight 2
finds 1
finishes 1
for 9
forced 2
friend 4
frightened 1
from 3
further 1
get 5
girl 3
girls 1
gittens 2
given 1
gives 2
giving 1
go 4
good 2
goodbye 1
got 1
grade 1
graduating 1
graduation 2
grave 1
gsm 1
hamburger 1
has 4
hates 1
have 1
he 3
hear 1
hearing 1
heated 1
heating 1
help 1
her 16
him 6
his 6
holowitz 1
house 3
how 1
if 1
important 1
in 11
inn 2
intimate 1
into 2
is 19
issues 1
it 4
jefferson 1
just 1
kept 1
kiss 1
learns 3
leave 1
letter 4
life 6
lift 1
likely 1
likes 1
little 1
liz 27
lizs 1
long 1
longer 1
looks 2
love 1
luck 1
maggie 17
mailbox 1
make 1
man 2
married 1
meets 1
milestone 1
miss 1
money 1
mother 2
move 1
moves 1
movie 1
much 1
name 1
needs 1
never 2
news 1
next 1
night 2
no 1
not 5
note 1
numerous 1
ocean 1
of 10
off 3
older 1
on 7
one 1
ones 1
order 1
out 5
over 2
panicked 1
part 1
past 2
pay 1
perform 1
person 1
pierre 1
place 1
points 1
poor 1
positive 1
possible 1
pregnant 2
present 1
president 1
prevent 1
prom 1
protagonist 1
pub 2
quick 1
rape 1
reader 3
ready 1
realization 1
realizes 3
received 1
recommends 1
red 2
reputation 1
responding 1
response 1
rest 2
revealed 1
rod 6
room 1
runs 1
rushes 1
saddened 1
saves 1
scrawny 1
sean 14
seans 5
seats 1
second 1
seeing 1
set 1
setting 1
settle 1
sexual 1
she 9
shortly 1
should 1
sign 1
situation 2
some 1
son 1
soon 3
speak 3
speaks 1
spend 1
spirits 1
states 1
stays 1
storys 1
tells 3
that 16
the 44
their 4
then 1
they 2
thinks 1
this 7
though 1
time 1
times 1
to 26
tobin 1
together 3
told 1
too 2
travel 1
travels 1
try 1
two 5
up 3
upon 1
using 1
very 1
waits 1
walking 1
way 1
weird 1
when 2
while 4
who 5
will 1
winter 1
wishes 2
with 16
work 1
would 1
writes 1
years 1
young 1
