3134572
/m/08tnmc
/m/08tnmc
Cormac McCarthy
2005-07-19
21yearold 1
24 1
50s 1
a 28
about 2
accident 1
across 2
actions 1
after 11
aftermath 1
ahead 1
aid 1
airduct 1
alive 1
also 2
and 32
another 1
answering 1
antelope 1
anton 2
any 1
approached 1
arrival 1
arrived 1
arrives 2
as 6
at 5
attempting 1
away 1
back 2
bad 2
badly 1
band 1
be 1
been 1
beginning 1
bell 8
bolt 1
book 1
border 2
borrowed 1
both 1
bribing 1
bronze 1
brutal 1
but 2
by 6
call 2
called 1
calls 2
captive 1
car 2
carla 5
carrying 1
carson 1
case 1
cash 2
central 1
characters 1
chase 1
chigurh 10
coin 1
cold 1
colored 1
complicating 1
containing 1
could 1
county 1
courthouse 1
crime 1
current 1
cylinder 1
dark 1
dead 2
deal 3
decide 1
decides 2
defeated 1
defiant 1
deliberation 1
describes 1
destroy 1
die 1
doesnt 1
doors 1
down 1
dreams 1
drives 1
drug 4
drugdeal 1
ed 2
el 1
enforcement 1
enough 1
escaping 1
events 1
everyone 1
exchange 2
exspecial 1
fails 1
familiar 1
fate 1
father 3
feeling 1
feels 1
find 2
finding 1
finds 2
fire 2
fix 1
flipping 1
follows 1
for 11
forces 1
from 4
full 1
give 1
gone 2
gunmen 2
had 2
hands 1
has 4
haunted 1
have 1
he 27
her 7
heroin 1
him 10
himself 1
hired 1
his 16
hit 1
hitman 2
home 2
horn 1
horse 1
hospital 1
hotel 2
house 1
however 1
hunt 1
hunters 1
hunting 1
husband 1
ii 1
in 18
incident 1
inform 1
injured 1
instructing 1
interweaving 1
investigates 1
investigation 1
is 11
it 3
its 2
jean 5
jug 1
just 1
kill 2
killed 1
knew 1
last 1
late 1
later 3
law 1
leaves 3
leaving 3
left 2
life 1
limps 1
lit 1
llewelyn 3
local 1
locate 1
location 3
locks 1
long 1
looks 1
make 1
makes 1
man 2
many 1
massacre 1
meet 1
meeting 1
met 1
mexican 3
mexicanamerican 1
mexicans 1
million 1
money 6
moon 1
moss 18
most 2
motel 2
mother 1
motion 1
mountains 1
much 1
murdered 1
murders 1
near 1
negotiate 1
night 2
novel 1
now 1
number 1
odessa 1
of 19
off 2
offers 1
officer 1
on 3
one 1
only 2
open 1
other 2
out 1
over 1
overlooking 1
overmatched 1
owner 1
pair 1
parked 1
paso 1
pass 2
patches 1
paths 1
phone 2
pistol 1
pleads 1
plot 1
previous 1
protect 1
protection 1
provides 1
quest 1
received 1
recover 1
recovering 1
recovers 1
recuperating 1
related 1
remain 1
remaining 1
remains 1
remorse 1
resolve 1
responds 1
rest 2
retire 1
retrieves 1
returns 3
ride 1
ridge 1
riding 1
rival 1
road 1
rode 1
room 3
run 1
satchel 4
save 1
scene 3
searches 2
second 1
see 1
seen 1
sends 1
set 1
several 1
severely 1
sheriff 4
shootout 1
shoots 1
shot 1
shotgun 1
silenced 1
silent 1
since 1
single 1
snowcovered 1
soldier 1
some 3
soon 3
southwest 1
sparks 1
spent 1
spills 1
standing 1
star 1
still 1
stolen 2
stretches 1
stumbles 1
stungun 1
supplies 1
takes 1
teenagers 1
tells 3
tense 1
terrell 1
texas 1
text 1
that 11
the 51
then 1
there 1
things 1
this 2
three 1
through 2
to 26
tom 2
town 1
traced 1
trail 1
travels 1
tree 1
tries 1
truck 4
trying 1
two 1
under 1
unfortunately 1
unit 1
unless 1
up 5
uses 1
valley 1
vehicles 1
victims 1
waiting 1
war 1
was 2
water 2
ways 1
well 1
wells 4
were 1
when 4
which 4
while 5
who 4
wife 2
will 2
with 9
woke 1
world 1
would 2
wounded 3
young 1
