2464157
/m/07fxvh
/m/07fxvh
Marilynne Robinson
1980
154 1
20th 1
a 8
abandonments 1
adolescence 1
age 1
an 1
and 4
are 3
as 5
aunt 1
become 1
been 1
before 1
being 1
bestseller 1
but 2
by 2
care 1
century 1
cleaning 1
close 1
come 1
comes 2
courts 1
dates 1
details 1
dislike 1
domestic 1
dugout 1
eccentric 1
events 1
eventually 1
experience 1
face 1
family 1
fictional 1
fingerbone 2
for 2
from 1
girls 1
grandfather 1
group 1
grows 1
half 1
has 1
her 3
herself 1
his 1
home 1
hometown 1
housekeeping 1
how 1
however 1
idaho 2
in 9
initially 1
is 1
journey 1
keeping 1
knit 1
larger 1
latter 1
lifestyle 1
living 3
loss 1
lucille 2
mentioned 1
midwest 1
moves 1
narrates 1
no 1
not 2
novel 2
of 11
on 1
one 1
only 1
out 1
place 1
questioned 1
raised 1
reads 1
refers 1
relatives 1
returns 1
road 1
robinson 1
ruth 5
sandpoint 1
self 1
sense 2
series 1
she 4
similar 1
sister 1
sod 1
some 1
sometime 1
spiritual 1
story 1
stranger 1
subject 1
succession 1
sylvie 2
take 2
takes 1
that 1
the 15
their 2
them 1
then 1
they 2
time 1
to 6
town 1
transient 1
traverses 1
treats 1
uncertain 1
up 1
wellbeing 1
when 1
while 1
who 1
with 1
younger 1
