21412327
/m/05f661f
/m/05f661f
Berlie Doherty
1986-10-23
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
130s 1
131 1
17 1
18yearold 1
8 1
a 12
about 5
accepts 1
adult 1
after 1
age 2
albert 1
already 1
although 1
an 3
and 17
appears 1
are 2
around 1
as 4
asks 1
at 4
aunt 1
awkward 1
baby 1
back 1
ball 1
because 1
been 1
birth 1
birthday 2
book 2
born 2
boss 1
boy 1
boynextdoor 1
bridie 3
brother 2
buffer 1
buffing 1
but 1
by 2
caring 1
catholic 1
celebration 1
centres 1
challenge 1
changing 1
chapter 4
chapters 1
characters 1
child 2
clothes 1
comes 1
concerned 1
concerns 2
confident 1
cutlers 1
dances 1
danny 5
daughter 1
day 1
death 1
decide 1
deeply 1
departs 1
devoted 1
died 1
disabled 1
dorothy 4
dream 1
eighth 1
elder 1
encounter 1
ends 1
escaping 1
extended 1
fails 1
fall 1
families 1
family 4
father 3
fierce 1
first 4
for 4
france 2
from 5
gathers 1
gets 1
gilbert 1
girl 2
girls 1
gives 1
goodbye 1
grandparents 1
great 1
greataunt 1
grimy 1
grudgingly 1
handsome 1
harbouring 1
has 2
he 4
hearing 1
her 11
his 5
home 1
husband 2
imminent 1
in 8
independent 1
into 1
introduces 1
is 7
it 2
jack 3
jess 11
job 1
john 2
josie 2
knowing 1
large 1
later 1
leave 1
leaves 1
local 1
louie 2
love 1
loyal 1
man 1
marriage 1
married 1
marry 2
maternal 1
matteroffact 1
matured 1
meets 1
memories 1
mike 3
mother 1
narrative 1
narrator 1
narrow 1
national 1
nervous 1
next 3
of 9
older 1
on 4
oppose 1
other 1
over 1
own 2
parents 2
partly 2
person 1
pigeons 1
prejudiced 1
promise 1
proposal 1
protestants 1
rebellious 2
recognize 1
religious 1
responsibility 1
reveal 1
risk 1
romantic 1
say 1
second 1
secret 1
secretly 1
secrets 1
service 1
set 1
several 1
she 3
shop 1
sister 2
six 1
sixth 1
so 1
son 1
stable 1
steelworker 1
stories 2
streets 1
study 1
sweetheart 1
switches 1
take 1
talk 1
teddy 1
teenage 1
teenager 1
the 25
their 3
then 1
they 3
third 1
this 1
time 1
title 1
to 9
train 1
troubled 1
two 2
unknown 1
up 1
was 1
wheelchair 1
when 2
who 4
whom 1
will 2
with 2
work 1
wouldbe 1
years 3
young 1
