16132258
/m/03w9_l9
/m/03w9_l9
Ishmael Reed
1969
a 11
about 1
adults 1
also 1
amazonian 1
american 1
and 13
animals 1
appearance 2
are 1
around 1
arrives 1
as 3
attempt 1
back 2
because 1
begins 1
being 1
black 2
blackwell 1
brings 1
brink 1
brokedown 1
builds 1
bull 1
but 1
by 5
capture 1
character 1
chased 1
chief 1
child 1
children 3
circus 3
citizens 1
city 2
citys 1
complete 1
conflict 1
continues 2
cowboy 1
curses 1
deals 1
defeat 1
describes 1
desire 1
detectives 1
deteriorates 1
deteriorating 2
devil 1
dies 1
difficulty 1
discrimination 1
doompussy 1
drag 9
drags 1
eaten 1
escapes 1
every 1
execute 1
execution 1
fails 3
falls 1
fed 1
field 1
fights 1
for 1
fortunes 1
from 2
gain 1
garb 1
garoo 6
ghost 1
gibson 1
giving 1
hardin 1
have 1
he 2
head 1
heads 1
health 1
her 2
him 5
his 8
homosexual 1
hoodoo 2
however 1
husband 1
in 5
inconveniences 1
indian 1
influence 2
influential 1
inherit 1
insanity 1
instead 1
into 5
introduced 1
ironjawed 1
is 6
itch 1
john 1
jumps 1
just 1
kills 2
lack 1
landowner 1
leaves 1
life 1
loop 10
loss 1
mail 1
main 2
male 1
marshal 2
massacred 1
means 1
men 1
mind 1
minor 1
more 1
murder 1
murders 1
mustache 2
name 1
narrative 1
native 1
new 1
no 1
nymphomaniac 1
of 11
on 3
oppressors 1
order 1
orders 1
other 1
out 2
overtaken 1
people 1
persuading 1
pigs 2
pit 1
pleasure 1
poison 1
pope 2
populated 1
population 1
power 1
preacher 1
problems 1
proceeds 2
progressively 1
protagonist 1
pushing 1
putting 1
quickly 2
racist 1
radio 2
raygun 1
red 1
represents 1
retroactive 1
return 1
riding 1
rome 1
sal 1
sals 1
saved 1
savior 1
seeks 1
service 1
sets 1
seventh 1
sex 1
sharpshooting 1
she 2
showcase 1
showing 1
silver 1
sixth 1
soundly 1
sparsely 1
state 1
suave 1
sudden 1
technology 1
that 1
the 26
theda 1
them 1
then 1
through 4
to 12
tongued 1
town 2
troupe 2
uncontrollable 1
underhanded 1
until 1
up 1
vast 1
vengeance 1
were 1
wesley 1
when 2
while 1
whipping 1
white 1
who 5
wielding 1
wife 1
wild 1
with 6
women 1
yellow 2
