15841636
/m/03nx064
/m/03nx064
René Goscinny

a 4
aroused 1
as 1
being 1
blanc 1
bring 1
but 2
can 1
cavalier 2
climactic 1
course 1
culprit 1
culprits 1
decides 1
drama 1
during 1
each 1
encounters 1
end 1
ends 1
eye 1
framed 1
group 1
he 1
help 1
his 2
in 2
investigation 1
is 1
justice 1
keep 1
le 1
literal 1
lucky 2
luke 1
major 1
member 1
nearly 1
of 3
on 1
only 1
perform 1
place 1
play 1
repentant 1
right 1
robbery 1
scene 1
sharp 1
specialty 1
suspicions 1
takes 1
the 9
theater 1
they 1
titular 1
to 2
town 1
translation 1
troupe 2
twice 1
up 1
wandering 1
where 1
white 1
whose 1
with 1
