7411539
/m/0260vzz
/m/0260vzz
John Masters

a 11
abducted 1
administrator 5
admires 1
adventures 1
after 1
against 1
all 1
an 3
ancient 1
and 11
anglicisation 1
another 1
are 2
area 1
arrow 1
artist 2
as 3
assists 1
attacked 1
attempts 1
avantgarde 1
backward 1
based 1
beauty 1
becomes 3
been 1
begins 1
british 3
build 1
by 2
central 1
century 1
character 1
characters 2
chhattisgarh 1
clear 1
comparable 1
control 1
creativity 1
cricket 1
dam 1
dancing 3
decides 1
deeply 1
deori 1
dig 1
displace 1
disrupt 1
disturbs 1
disused 1
dravidian 1
drawn 1
during 1
education 1
ends 1
england 1
even 1
excavate 1
excavations 1
factions 1
famous 1
fictional 1
follows 1
for 2
fragment 1
from 1
girl 3
gond 1
happily 1
has 2
have 1
he 5
heir 1
her 2
hidden 1
him 1
himself 1
his 6
however 2
in 7
into 1
investigations 1
is 10
it 2
its 1
just 1
killed 1
kingdom 1
konpara 2
land 1
late 1
liberated 1
livein 1
lives 1
local 3
lover 1
main 1
manet 1
marries 2
meant 1
meanwhile 1
misdirect 1
modern 1
mysterious 2
neglected 1
nicknamed 1
nineteenth 1
novel 1
of 8
on 1
other 2
over 1
part 1
people 1
personality 1
pitch 1
plans 2
plot 1
poisoned 1
pricks 1
prince 6
proceed 1
raj 1
rajput 1
realm 1
recovered 1
remains 1
repressed 1
rescued 1
resentful 1
reservations 1
returned 1
rigid 1
roughly 1
search 1
seduced 1
seems 1
sensuousness 1
set 1
sexually 1
she 1
sign 1
similar 1
some 1
statue 1
style 1
successor 1
such 1
systematic 1
tandem 1
that 2
the 27
there 1
though 1
threaten 1
throne 1
to 11
tribesmen 1
uncle 1
venus 1
when 2
who 6
widow 1
wife 1
with 3
work 2
works 2
