6696394
/m/0ghr9d
/m/0ghr9d
Pam Chun

{"/m/02xlf": "Fiction"}
11 1
118 1
134 1
1350 1
181 1
188 1
1882 1
1884 1
30 1
a 26
about 2
absence 1
act 2
adopted 1
after 9
afternoon 1
afterward 1
aged 1
agreed 1
ah 28
ahuna 1
along 1
also 3
amassed 1
amputate 1
amputation 1
an 1
and 28
another 3
approximately 1
are 3
area 1
around 1
arrival 1
art 1
as 5
assures 1
at 7
attempt 1
attention 1
baby 1
back 2
badly 1
band 1
bankrupt 1
bankruptcy 1
bayonet 1
be 3
beautiful 2
became 2
because 5
become 3
becomes 1
bedrooms 1
before 2
began 1
beggar 1
behind 1
believed 1
believes 2
bloody 1
boat 2
book 1
born 3
boss 1
boy 1
brewing 1
bribe 1
brings 1
bubonic 1
build 2
burned 3
busiest 1
businesses 1
but 3
by 8
can 1
card 1
cause 1
causing 1
charming 1
cheating 1
cheerful 1
child 1
children 3
china 7
chinatown 1
chinese 5
chose 1
citizen 1
civil 1
claim 1
claims 1
clear 1
clip 1
coffee 1
cohabitating 1
colorful 1
comes 2
coming 1
community 2
completely 1
concern 1
constitution 1
construction 1
cook 2
could 1
court 1
cuts 1
daikam 4
daughterinlaw 1
day 1
death 5
decided 1
denied 1
desperate 1
died 1
dies 1
discovered 1
do 1
doctors 1
dollars 1
doubted 1
down 1
dowry 1
due 1
eight 2
ends 1
enjoy 1
entry 2
estate 2
estates 1
even 2
events 1
everything 2
eveutually 1
excited 1
exclusion 1
exit 2
face 2
faction 1
family 2
father 2
few 1
fighting 1
fights 1
filled 1
finally 2
find 1
fined 1
fire 1
first 10
flames 1
flowers 1
foot 1
for 7
forced 1
fortune 2
fourth 1
from 2
full 1
fungtai 1
future 1
garlands 1
get 4
gets 1
go 2
goes 1
good 2
got 2
ground 2
grown 1
had 4
halfbrothers 1
happy 1
harassed 1
hard 1
has 3
have 3
having 1
hawaii 8
hawaiian 1
hawaiians 1
he 9
heal 1
heard 1
her 7
him 6
his 22
home 1
hong 1
honolulu 2
house 2
however 4
huge 1
husband 1
idea 1
identification 1
immigration 1
in 19
infected 1
inherit 1
interpreted 1
into 2
is 15
islands 1
it 7
itself 1
kakaako 2
kapaau 1
kidnapped 1
king 1
kingdom 1
knife 1
kong 1
l 6
largest 1
late 1
later 2
lau 3
legally 2
leong 26
licenseshe 1
lives 1
living 2
long 1
longer 1
lost 1
lot 1
low 2
luck 1
lucky 1
making 1
man 1
manage 3
many 4
marriage 1
married 4
marry 1
match 2
medical 1
meets 1
milk 1
million 1
ming 1
monarchy 1
money 4
months 2
more 2
move 1
moves 1
much 1
must 2
nails 1
never 1
new 2
no 2
none 1
nonhawaiians 1
north 1
not 3
noticed 1
of 19
off 1
officials 1
old 1
oldesthe 1
on 1
one 5
only 4
open 1
opened 1
or 2
order 1
other 1
over 1
papers 1
paradise 1
part 1
passage 1
patronized 1
pays 1
people 2
phoenix 8
picture 1
plague 1
plantation 1
poor 1
power 1
predominantly 1
processeda 1
property 1
purchase 1
purifying 1
reach 1
referred 1
refusing 1
repents 1
return 2
returned 1
rise 1
same 1
say 1
second 3
seems 1
seen 1
separate 1
series 1
she 6
shop 2
shops 1
shortly 1
should 1
since 2
slow 1
so 4
sometimes 1
son 2
soon 2
special 1
starts 1
states 2
status 1
stayed 1
still 1
stock 1
store 7
street 1
struggling 1
succeed 1
such 1
suggested 1
supervised 1
suspecting 1
take 2
taken 1
talk 1
tattung 9
taught 1
ten 1
testify 1
that 11
the 31
their 2
them 2
then 3
there 4
therefore 1
they 7
things 1
third 1
this 9
though 1
three 3
through 2
time 3
to 34
tong 1
too 2
trade 1
treated 1
trying 1
two 1
unfortunately 1
unhappy 1
united 2
until 1
up 1
upon 1
used 2
usually 1
very 2
waiting 1
waits 1
war 1
was 13
way 1
wealth 2
wedding 1
weeks 2
went 1
were 1
when 4
where 1
which 2
while 1
white 1
who 3
whole 1
wife 8
will 5
with 7
witnesses 2
wives 3
woman 1
women 1
work 2
worry 1
would 4
yang 1
years 1
