11177345
/m/02r2nn6
/m/02r2nn6
Henning Mankell

a 3
after 1
against 1
ahead 1
all 1
and 3
animals 1
apartment 1
are 1
as 1
between 1
bodies 1
bullet 1
by 1
close 1
connection 1
consumed 1
crime 1
dead 1
deranged 1
detective 1
did 1
dressed 1
during 1
finds 1
found 2
friend 1
gustavus 1
half 1
he 1
him 1
himself 1
his 2
horrified 1
iii 1
in 2
inexplicably 1
is 2
just 1
killer 1
latter 1
makes 1
man 1
merciless 1
murdered 1
nobility 1
of 3
one 2
own 1
reign 1
remains 1
savagely 1
single 1
slain 1
step 1
svedberg 1
sweden 1
the 6
their 1
tormented 1
two 1
up 1
wallander 1
when 1
who 1
wilderness 1
with 1
women 1
young 2
