30762
/m/07kp1
/m/07kp1
Tom Clancy
1988
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 14
abm 2
accept 1
adaptive 1
after 3
agent 3
aid 1
aide 1
aircraft 1
airport 1
alan 1
all 1
allows 1
always 1
american 4
among 1
amount 1
an 2
analyst 1
and 18
angling 1
another 2
antiamerican 1
antietam 1
archer 3
are 1
army 1
arrange 1
arrest 1
arrested 1
as 5
at 2
attach 1
attacking 1
attend 1
attending 1
attends 1
awaiting 1
aware 1
banking 2
based 1
battlefield 1
be 3
bea 1
because 1
become 1
been 1
believe 1
bisyarina 2
borissovich 1
both 1
brief 1
brings 1
british 1
buried 2
by 3
camp 1
candi 1
capture 1
captured 1
cardinal 1
chairman 2
cia 8
cias 1
clark 1
close 1
codenamed 1
colonel 2
common 1
concocts 1
conference 1
confinement 1
dacha 1
dallas 1
david 1
dc 1
death 1
deaths 1
debrief 1
debriefing 2
defection 2
defense 2
delegation 3
departure 2
desert 1
destroy 1
determined 1
determines 1
development 1
died 1
diplomatic 2
discovered 1
discovers 1
discuss 1
disease 1
doesnt 1
during 1
dushanbe 1
emilio 1
end 1
enraged 1
equipment 1
escape 1
escorts 1
estonia 1
exfiltrated 1
explains 1
extracted 1
facility 1
failed 1
fallen 1
family 1
fbi 1
fetches 1
fight 1
filitov 12
flipped 1
foiled 1
following 1
for 6
forcing 1
from 3
funeral 2
general 2
gerasimov 8
give 1
go 1
golovko 3
gregory 6
ground 1
group 1
gru 1
guerrillas 1
had 1
handler 1
harm 1
has 2
he 4
heart 1
her 1
hero 1
highlyplaced 1
him 6
himself 1
his 11
hold 1
horrendous 1
hostage 1
house 1
however 2
ideology 1
in 15
including 1
informs 1
instability 1
installation 1
intelligence 1
interest 1
interference 1
internal 1
is 12
jack 1
john 1
keep 1
kgb 6
kidnap 2
killed 2
klementi 1
known 1
large 1
laser 1
latter 1
launches 1
leader 1
learns 1
lesbian 1
liaison 1
lives 1
long 2
longmdashdescribes 1
losses 1
love 1
major 1
make 1
man 1
means 1
meanwhile 1
meet 1
men 1
mexico 2
mikhail 1
miles 1
military 2
minister 1
months 1
moscow 2
most 1
mujaheddin 1
narmonov 1
national 2
new 2
nikolay 1
nikolayevch 1
none 1
october 1
of 20
offer 1
offered 1
officers 2
oleg 1
on 6
one 2
only 1
onto 1
operation 1
optics 1
or 1
orders 1
ortiz 1
other 1
others 1
over 1
part 1
passing 1
past 1
peace 1
penkovskiy 1
people 1
period 1
personal 1
pillaging 1
plan 2
planned 1
planning 1
plans 2
politburo 1
political 3
position 1
president 1
prevent 1
prior 1
private 1
protect 1
public 1
questioned 1
questions 1
rebel 1
rebels 2
recruited 1
red 2
region 1
rescue 1
researcher 1
result 1
retrieve 1
return 2
returns 1
ryan 11
safe 1
schemes 1
scientist 1
sdi 1
secretary 2
secure 1
security 1
semyonovich 1
send 1
sends 1
sent 1
sergey 1
service 1
services 1
several 1
shabby 1
sheremetyevo 1
sitting 1
so 1
soldiers 1
some 1
something 1
sons 1
soviet 7
soviets 2
states 1
status 1
submarine 2
suffer 1
system 2
tajikistan 1
take 1
tanya 1
tasks 1
taussigmdashwho 1
team 1
technical 2
test 1
than 1
that 4
the 54
their 5
then 1
thirty 1
those 1
threat 1
three 2
through 1
to 30
travels 1
twenty 1
two 4
unfortunately 1
union 1
united 1
unluckily 1
unwittingly 1
unyielding 1
us 2
use 1
uss 1
vatutin 1
vladimirovich 1
wake 1
war 1
was 1
washington 1
way 2
we 2
weaponry 1
were 2
what 1
when 1
where 2
while 1
who 2
whom 1
why 1
wife 1
with 5
within 1
witnessing 1
work 2
working 3
would 1
years 1
young 1
